样本编号,预测极性,提交强度_类别一致后处理,模型原始回归强度,预测最大概率,负向概率,中性概率,正向概率,跨模态分支预测,文本分支预测,文本分支实际融合权重,文本不可用比例,语音不可用比例,视觉不可用比例,联合UNK屏蔽位置数,有效内容位置数
附件3_14,Negative,-0.8986445069313049,-0.8986444802387901,0.8288062558939348,0.8288062558939348,0.12547711373365772,0.04571663037240756,Negative,Negative,0.616304347826087,0.08695652173913049,0.08695652173913049,0.08695652173913049,2,23
附件3_15,Positive,0.533597469329834,0.5335974454879762,0.6420559794226987,0.019567355237558117,0.33837666533974337,0.6420559794226987,Positive,Positive,0.6,0.11111111111111116,0.11111111111111116,0.11111111111111116,3,27
附件3_16,Positive,1.5512619018554688,1.5512619176331688,0.9434876398947105,0.016608097020488828,0.039904263084800634,0.9434876398947105,Positive,Positive,0.5955882352941176,0.11764705882352944,0.11764705882352944,0.11764705882352944,4,34
附件3_17,Negative,-0.2789793908596039,-0.2789793848314069,0.571611968032258,0.571611968032258,0.2703780006911699,0.15801003127657204,Negative,Negative,0.42954545454545456,0.36363636363636365,0.36363636363636365,0.36363636363636365,8,22
附件3_18,Neutral,0.0,0.27455244520131283,0.49602056528540256,0.11067812302029381,0.49602056528540256,0.39330131169430355,Neutral,Neutral,0.5558823529411765,0.17647058823529416,0.17647058823529416,0.17647058823529416,3,17
附件3_19,Negative,-0.6444384455680847,-0.6444384286180139,0.7018493030713224,0.7018493030713224,0.22681631458707185,0.07133438234160573,Negative,Negative,0.4781250000000001,0.29166666666666663,0.29166666666666663,0.29166666666666663,7,24
附件3_20,Neutral,0.0,0.09402861427515745,0.6135234189715977,0.16709022056209785,0.6135234189715977,0.2193863604663044,Neutral,Neutral,0.4781250000000001,0.29166666666666663,0.29166666666666663,0.29166666666666663,14,48
附件3_21,Positive,0.45329907536506653,0.4532990694046021,0.5361976032134466,0.058291762575519615,0.4055106342110338,0.5361976032134466,Positive,Neutral,0.45,0.33333333333333337,0.33333333333333337,0.33333333333333337,3,9
附件3_22,Positive,0.1740306317806244,0.17403063564835225,0.3777864864945755,0.303990462087919,0.3182230514175055,0.3777864864945755,Positive,Positive,0.5161764705882353,0.23529411764705888,0.23529411764705888,0.23529411764705888,4,17
附件3_23,Neutral,0.0,0.3285869119832149,0.5173675398520825,0.06580484608096202,0.5173675398520825,0.4168276140669555,Neutral,Positive,0.4673076923076923,0.3076923076923077,0.3076923076923077,0.3076923076923077,4,13
附件3_24,Negative,-0.009999999776482582,-0.004944873647764331,0.4497889670751664,0.4497889670751664,0.22226862370145165,0.32794240922338197,Negative,Negative,0.5062500000000001,0.25,0.25,0.25,2,8
附件3_25,Neutral,0.0,0.27975416332483294,0.6329340329052516,0.0966310292234819,0.6329340329052516,0.2704349378712665,Positive,Neutral,0.525,0.2222222222222222,0.2222222222222222,0.2222222222222222,2,9
附件3_26,Positive,0.685445249080658,0.6854452306574041,0.7236315497817774,0.04830016736986275,0.2280682828483599,0.7236315497817774,Positive,Positive,0.49090909090909096,0.2727272727272727,0.2727272727272727,0.2727272727272727,6,22
附件3_27,Positive,1.03621244430542,1.0362124519688742,0.8626386912247785,0.03726988178522703,0.10009142698999435,0.8626386912247785,Positive,Positive,0.41785714285714287,0.38095238095238093,0.38095238095238093,0.38095238095238093,8,21
附件3_28,Positive,0.46088171005249023,0.4608817219734192,0.479757655944335,0.04287897479786425,0.4773633692578007,0.479757655944335,Positive,Neutral,0.45,0.33333333333333337,0.33333333333333337,0.33333333333333337,11,33
附件3_29,Positive,1.0573832988739014,1.057383343577385,0.8713340128594806,0.025602462132046918,0.10306352500847238,0.8713340128594806,Positive,Positive,0.37500000000000006,0.4444444444444444,0.4444444444444444,0.4444444444444444,8,18
附件3_30,Positive,0.4515990912914276,0.4515990912914276,0.5181623465673664,0.09639369408270791,0.3854439593499256,0.5181623465673664,Positive,Neutral,0.3375,0.5,0.5,0.5,12,24
