样本编号,预测极性,预测强度,预测最大概率,负向概率,中性概率,正向概率,文本不可用比例,语音不可用比例,视觉不可用比例,文本,模型,文本融合权重
附件3_13,Negative,-0.009999999776482582,0.3971441984176636,0.3971441984176636,0.25086110830307007,0.35199469327926636,0.10526315789473684,0.10526315789473684,0.10526315789473684,,固定文本-三模态融合,0.5
附件3_14,Negative,-0.5378150939941406,0.7162786722183228,0.7162786722183228,0.1899227797985077,0.09379848837852478,0.08695652173913049,0.08695652173913049,0.08695652173913049,,固定文本-三模态融合,0.5
附件3_15,Positive,0.7832401990890503,0.8246155977249146,0.013782989233732224,0.16160136461257935,0.8246155977249146,0.11111111111111116,0.11111111111111116,0.11111111111111116,,固定文本-三模态融合,0.5
附件3_16,Positive,1.7633650302886963,0.9545738101005554,0.010580545291304588,0.034845657646656036,0.9545738101005554,0.11764705882352944,0.11764705882352944,0.11764705882352944,,固定文本-三模态融合,0.5
附件3_17,Negative,-0.27354300022125244,0.5664547681808472,0.5664547681808472,0.27739429473876953,0.15615098178386688,0.36363636363636365,0.36363636363636365,0.36363636363636365,,固定文本-三模态融合,0.5
附件3_18,Positive,0.20691941678524017,0.43509358167648315,0.13501544296741486,0.4298909902572632,0.43509358167648315,0.17647058823529416,0.17647058823529416,0.17647058823529416,,固定文本-三模态融合,0.5
附件3_19,Negative,-0.6738309860229492,0.6838486194610596,0.6838486194610596,0.232420414686203,0.08373092114925385,0.29166666666666663,0.29166666666666663,0.29166666666666663,,固定文本-三模态融合,0.5
附件3_20,Neutral,0.0,0.6066107749938965,0.16669246554374695,0.6066107749938965,0.22669678926467896,0.29166666666666663,0.29166666666666663,0.29166666666666663,,固定文本-三模态融合,0.5
附件3_21,Positive,0.476252943277359,0.5321974158287048,0.05632757768034935,0.4114750325679779,0.5321974158287048,0.33333333333333337,0.33333333333333337,0.33333333333333337,,固定文本-三模态融合,0.5
附件3_22,Neutral,0.0,0.33707600831985474,0.3309933543205261,0.33707600831985474,0.33193060755729675,0.23529411764705888,0.23529411764705888,0.23529411764705888,,固定文本-三模态融合,0.5
附件3_23,Neutral,0.0,0.5080928206443787,0.06918208301067352,0.5080928206443787,0.422725111246109,0.3076923076923077,0.3076923076923077,0.3076923076923077,,固定文本-三模态融合,0.5
附件3_24,Positive,0.12890949845314026,0.3956398367881775,0.39105111360549927,0.21330904960632324,0.3956398367881775,0.25,0.25,0.25,,固定文本-三模态融合,0.5
附件3_25,Neutral,0.0,0.6250086426734924,0.09758689999580383,0.6250086426734924,0.2774045169353485,0.2222222222222222,0.2222222222222222,0.2222222222222222,,固定文本-三模态融合,0.5
附件3_26,Positive,0.7775385975837708,0.7495743036270142,0.05851012095808983,0.1919155716896057,0.7495743036270142,0.2727272727272727,0.2727272727272727,0.2727272727272727,,固定文本-三模态融合,0.5
附件3_27,Positive,0.8026400804519653,0.7497249841690063,0.0800289437174797,0.17024603486061096,0.7497249841690063,0.38095238095238093,0.38095238095238093,0.38095238095238093,,固定文本-三模态融合,0.5
附件3_28,Positive,0.2817305326461792,0.531372606754303,0.041609298437833786,0.42701810598373413,0.531372606754303,0.33333333333333337,0.33333333333333337,0.33333333333333337,,固定文本-三模态融合,0.5
附件3_29,Positive,0.9957929849624634,0.8509197235107422,0.02550373040139675,0.12357649207115173,0.8509197235107422,0.4444444444444444,0.4444444444444444,0.4444444444444444,,固定文本-三模态融合,0.5
附件3_30,Neutral,0.0,0.4681718051433563,0.17287784814834595,0.4681718051433563,0.35895031690597534,0.5,0.5,0.5,,固定文本-三模态融合,0.5
