sample_id,true_class,predicted_class,true_intensity,intensity,p_negative,p_neutral,p_positive,confidence,absolute_error,raw_text,truncated,audio_rows,vision_rows,manual_cause,manual_evidence,review_status
5kaCGzjYukM$_$7,0,2,-0.6666666865348816,0.7834339141845703,0.10432457499830365,0.16930637737061424,0.7263690476310822,0.7263690476310822,1.450100600719452,"But again, you’re going to hear more from the Secretary on this very shortly, but I did want to just put that out there right at the top since I know you’ve all been interested in it and it just happened.",True,48,48,,,pending
216097$_$7,0,2,-0.3333333432674408,0.7739367485046387,0.10793535829758989,0.1735764323041938,0.7184882093982163,0.7184882093982163,1.1072700917720795,"He's able to save forty people (uhh) on his rocket ship, which I found pretty interesting since he has thousands working for him to build his rocket ship and most of them know that hey, the only chance is for forty people getting out so why am I wasting all this time and energy to helping forty people get away when the astronomer, his daughter and her two boyfriends are already guaranteed four of the forty spots on the rocket ship",True,48,44,,,pending
6uPGcKTpC4I$_$2,1,2,0.0,0.7771458625793457,0.10381579255027856,0.18724820850226515,0.7089359989474563,0.7089359989474563,0.7771458625793457,"This means that Dash's block reward -- that is the reward to miners, masternodes, and the available treasury -- will decrease by 7",False,31,31,,,pending
272624$_$16,1,0,0.0,-0.217513769865036,0.7001278026759402,0.1265086964888929,0.17336350083516686,0.7001278026759402,0.217513769865036,"(umm) Unfortunately this one isn't in three D though, so it's not as entertaining but (stutter) I think this is strictly for Mummy fans and people that just want (uhh) some kind of escapist movie to forget about their worries for ninety minutes",True,48,48,,,pending
99501$_$7,0,2,-1.0,0.7411173582077026,0.10237866872887076,0.19883534922023338,0.6987859820508958,0.6987859820508958,1.7411173582077026,"I think you could have done a little bit more with this movie, with the subject matter",False,18,18,,,pending
RArhIHk4Qs4$_$16,2,0,0.3333333432674408,-0.3515022099018097,0.6964095125020944,0.1770063281343818,0.12658415936352374,0.6964095125020944,0.6848355531692505,"In and of itself, searching this information, and looking at information that is not indexed is not illegal",False,20,20,,,pending
102408$_$5,0,2,-2.0,0.8557448983192444,0.1612154641492622,0.14532550007630593,0.6934590357744318,0.6934590357744318,2.8557448983192444,"I couldn't wait til it was over, but you know if you have little boys then, you know, they probably would like this movie",False,29,29,,,pending
FB_b1dm0SRY$_$9,1,0,0.0,-0.2196013182401657,0.6927466121302003,0.11414751573198473,0.19310587213781502,0.6927466121302003,0.2196013182401657,"I think when you have a place like high school where you’re legally obligated to show up every day, you cannot walk away",False,28,28,,,pending
290546$_$6,1,0,0.0,-0.329508900642395,0.6918366865266922,0.1404315337471051,0.16773177972620282,0.6918366865266922,0.329508900642395,She has to see doctors and so forth,False,8,8,,,pending
K0m1tO3Ybyc$_$15,1,2,0.0,0.7011431455612183,0.10687220058707794,0.20662338207988937,0.6865044173330327,0.6865044173330327,0.7011431455612183,Remember when we read about Marie Antoinette we used to talk of love.,False,14,14,,,pending
JAnRCQ9A0vI$_$5,1,2,0.0,0.5634264945983887,0.08602083516209631,0.23817389954591733,0.6758052652919865,0.6758052652919865,0.5634264945983887,Then we followed up with an email blast to identify that this new system was here and what were the advantages of using the system,False,25,0,,,pending
80566$_$6,1,0,0.0,-0.30180126428604126,0.6754201910157523,0.17684209377126361,0.14773771521298412,0.6754201910157523,0.30180126428604126,"I I (stutter) mean in the original Star Wars, people actually acted it",False,17,17,,,pending
Zvisaa77Cng$_$1,0,2,-0.6666666865348816,0.7905943989753723,0.16181700378050592,0.16306329269334505,0.675119703526149,0.675119703526149,1.457261085510254,And I think in Davos the whole issue about regulation ethics has been a big issue.,False,18,18,,,pending
_7HVhnSYX1Y$_$12,1,2,0.0,0.626607358455658,0.09774451793529135,0.22949682948229108,0.6727586525824175,0.6727586525824175,0.626607358455658,"If you're hosting a fashion show, team up with local clothing retailers and shoe stores.",False,19,19,,,pending
bWunvAd96zI$_$4,1,2,0.0,0.7482751607894897,0.11520229096443207,0.21212656055635776,0.6726711484792101,0.6726711484792101,0.7482751607894897,"Through the process, Callie becomes a better friend who is less consumed by her love life",False,17,17,,,pending
zjYEBwXGD8I$_$13,0,2,-0.3333333432674408,0.6045262813568115,0.1042962188159489,0.22574580504150846,0.6699579761425426,0.6699579761425426,0.9378596246242523,So we've actually done quite a few phone calls that were mystery shopping Frontpoint - making sure that we understood how they treat their customers when it comes to tough issues or complaints or sales,False,38,38,,,pending
L1eFHRQGFeg$_$2,2,0,0.3333333432674408,-0.05725445598363876,0.6665639626182325,0.09938027763277968,0.2340557597489878,0.6665639626182325,0.39058779925107956,"Unfortunately, I don't remember everything, and I'm sure a lot   of my literacy development happened when I was born... before I went to school, which my mind didn't retain.",False,42,42,,,pending
6uPGcKTpC4I$_$1,1,2,0.0,0.586195707321167,0.09256108044420214,0.24460680894790637,0.6628321106078914,0.6628321106078914,0.586195707321167,"Little heads-up for you -- that sometime on February 12th at block 630,720, we will have our annual decrease of inflation",False,27,27,,,pending
128059$_$9,2,0,0.3333333432674408,-0.05283466726541519,0.6622790539958361,0.09099938145377245,0.24672156455039146,0.6622790539958361,0.386168010532856,"(umm) You know like I said, it's it's (stutter) an alright movie",False,22,22,,,pending
102858$_$21,2,0,1.0,-0.25659042596817017,0.6576947388182622,0.19828451736324737,0.1440207438184903,0.6576947388182622,1.2565904259681702,"I'm giving this beast a four out of, (stutter) I mean, (uhh) wait, four, no",False,27,27,,,pending
125676$_$0,0,2,-0.3333333432674408,0.6325012445449829,0.1102071584985965,0.23946895161891163,0.6503238898824918,0.6503238898824918,0.9658345878124237,Hi today I'm gonna review this DVD Ten Items or Less,False,13,13,,,pending
szic2IB9HB4$_$5,2,0,0.3333333432674408,-0.17714130878448486,0.6497703798991211,0.16146482922148406,0.18876479087939493,0.6497703798991211,0.5104746520519257,Retail earnings did very little for consumer discretionary exchange traded funds.,False,13,13,,,pending
K0m1tO3Ybyc$_$8,0,2,-1.3333333730697632,0.7534546256065369,0.1922046072346394,0.160355082771462,0.6474403099938987,0.6474403099938987,2.0867879986763,We had John Thain redecorating his office to the tune of a million dollars while getting money from the tax payers to bail out his company.,False,32,32,,,pending
TH32jop4FiI$_$15,2,0,0.3333333432674408,-0.18046019971370697,0.6458776393114729,0.15303774725419103,0.20108461343433615,0.6458776393114729,0.5137935429811478,Former Republican Florida Governor Charlie Crist has apologized for his past support for a ban on marriage and civil unions.,False,22,22,,,pending
gVqs4TzqySw$_$2,1,2,0.0,0.6157599687576294,0.11274732233926621,0.246020636105554,0.6412320415551798,0.6412320415551798,0.6157599687576294,""" There it's much more of a mutual idea, the idea that is there is activity going on on both sides of the interaction",False,27,14,,,pending
128763$_$8,1,0,0.0,-0.2643667459487915,0.62822833451592,0.2003957651853068,0.17137590029877328,0.62822833451592,0.2643667459487915,They're definitely just trying to survive,False,8,8,,,pending
zjYEBwXGD8I$_$0,1,2,0.0,0.5485502481460571,0.10398086223461739,0.28222048850457776,0.6137986492608049,0.6137986492608049,0.5485502481460571,"Hey guys, this is David over at A Secure Life",False,11,11,,,pending
dEDbm2ubVRQ$_$3,2,0,0.3333333432674408,-0.10630471259355545,0.6116885231567689,0.18618560555222022,0.20212587129101095,0.6116885231567689,0.43963805586099625,"Heck, I'm sure it's the bane of most businesses existence, especially those that deal with people who provide services and then pay at a later date.",False,33,33,,,pending
0utROiKxejc$_$1,1,2,0.0,0.6033509373664856,0.13350922721268332,0.2575284374443128,0.6089623353430039,0.6089623353430039,0.6033509373664856,Business was good initially but companies has a tend to launch new products every month.,False,16,16,,,pending
247318$_$6,0,1,-0.3333333432674408,0.11957666277885437,0.16052674049092552,0.6076800220051275,0.231793237503947,0.6076800220051275,0.45291000604629517,It was a kids movie,False,5,5,,,pending
99501$_$0,2,1,0.3333333432674408,0.15596774220466614,0.14501675055313523,0.6059494504498036,0.2490337989970611,0.6059494504498036,0.17736560106277466,Hey,False,1,1,,,pending
uooIiW6dEyg$_$5,1,2,0.0,0.5418184995651245,0.12604391218652564,0.27392837721571583,0.6000277105977585,0.6000277105977585,0.5418184995651245,"If it is an economic asset, it means that we will pay more attention to it, both when we recycle at home and and also when companies begin their manufacturing process",False,35,35,,,pending
272624$_$9,0,2,-1.0,0.6904933452606201,0.24559016066826192,0.1550067239491672,0.599403115382571,0.599403115382571,1.6904933452606201,"(uhh) The movie has Jet Li in it, which is a nice surprise, but I feel that if they (uhh) could have used him more in it (uhh) it would have been movie if they did",False,47,47,,,pending
223431$_$10,0,2,-1.0,0.5917066931724548,0.12813841089489336,0.27339993813336516,0.5984616509717415,0.5984616509717415,1.5917066931724548,(umm) Definitely gets tireless after a while {laugh},False,13,13,,,pending
101787$_$1,0,1,-0.6666666865348816,0.07130849361419678,0.20090495769139521,0.5866677965981908,0.21242724571041394,0.5866677965981908,0.7379751801490784,"Which is a nineties Harrison Ford, semi-action, more romantic comedy flick",False,16,16,,,pending
266791$_$29,0,1,-1.6666666269302368,0.11763742566108704,0.19367891582966607,0.5858270019236402,0.22049408224669365,0.5858270019236402,1.7843040525913239,Obviously CG,False,3,3,,,pending
ioupaiAuRr0$_$5,1,2,0.0,0.5071578025817871,0.12395355687851106,0.29034722020947706,0.5856992229120118,0.5856992229120118,0.5071578025817871,"If you find an insurance professional and he's licensed, he should be able to provide all the ratings from the best insurance companies for you.",False,29,29,,,pending
80855$_$10,2,1,0.3333333432674408,0.07647255063056946,0.2129394738916705,0.5804002282143814,0.20666029789394802,0.5804002282143814,0.25686079263687134,"He's (uhh) in the, he's in a couple episodes",False,17,17,,,pending
JAnRCQ9A0vI$_$1,1,2,0.0,0.4170774221420288,0.12123844284373063,0.30037714737082866,0.5783844097854406,0.5783844097854406,0.4170774221420288,"When we initially launched the system we decided that we were going to our BIS team and find all of our users that have already been logged on customers to our Internet site, and take those user names and push them into the Widen system and then market to those specific users, letting them know what kind of new system we were creating, what were the advantages of it, and push that out to them",True,48,4,,,pending
r13W4H8ZhqI$_$1,1,2,0.0,0.5045533776283264,0.14484220079667406,0.2775529390770015,0.5776048601263244,0.5776048601263244,0.5045533776283264,"And as you can imagine, you know, in the head and neck region there's a lot of very important structures, their eyes, swallowing muscles, nerves, brain, spinal cord, salivary glands.",False,42,42,,,pending
MjaaudUc5-4$_$6,2,0,0.6666666865348816,-0.1513797640800476,0.5773559060595548,0.22435892069464825,0.19828517324579698,0.5773559060595548,0.8180464506149292,Even a Buddha without a Sangha cannot do much,False,10,10,,,pending
80855$_$7,1,0,0.0,-0.20644685626029968,0.5768176145829771,0.2621563811233479,0.16102600429367503,0.5768176145829771,0.20644685626029968,That's my fingers being crossed,False,7,7,,,pending
MjaaudUc5-4$_$0,0,2,-0.3333333432674408,0.553142786026001,0.17041888736185598,0.25311518270895617,0.5764659299291878,0.5764659299291878,0.8864761292934418,And you try to help them,False,6,6,,,pending
ViyQVpGW05w$_$4,1,2,0.0,0.5605447292327881,0.23593167710491902,0.18761479818030466,0.5764535247147764,0.5764535247147764,0.5605447292327881,This legal session will focus on illegal discrimination in schools and classrooms.,False,13,13,,,pending
125344$_$0,2,0,0.6666666865348816,-0.08945365995168686,0.5747805123082294,0.22124372366886863,0.203975764022902,0.5747805123082294,0.7561203464865685,"Harry Potter and the Order of the Phoenix yes Harry Potter's back and I think he's forty seven in this one no no he's not that old but (stutter) he's starting to look old in the movies they're all starting to look all grown up, and (umm) I'll admit it that I'm I'm (stutter) a dork and I enjoy the Harry Potter movies not saying everybody that enjoys Harry Potter movie is necessarily a dork, but (umm) I'm an older gentleman and I enjoy the kid movies but (umm) it's a very good movie (stutter) I mean the the the (stutter) movies in general are very good they the first one was really good the second one was still pretty good, and they just went on downhill from down there, this one wasn't very good I mean I didn't think it was that good (umm) Harry's back in school yet again and I think this is his fifth year, and (umm) this time new people are taking over Hogwart the school, see I told you I'm a dork I know the names of the school, and (umm) they're trying to discredit Harry saying that Lord the the (stutter) bad guys coming back I don't know his name Valdemort, Valdemont (stutter) I know it begins with a V I know that much but they're trying to discredit him and (umm) to me it just seems I don't know maybe i'm growing up whenever the first one came out I was a little younger than I am now but (umm) I didn't enjoy this one and I'm sure kids will enjoy it, I I (stutter) mean there was a lot of magic and the acting in it was really good, and (umm) the scenes were really good the (umm) the magic scenes looked awesome, but (umm) I just didn't enjoy it",True,48,14,,,pending
wF8980oGklk$_$6,1,2,0.0,0.49070727825164795,0.12133641582950615,0.3072582567579636,0.5714053274125303,0.5714053274125303,0.49070727825164795,They were using CENTORRINO as well and had good reports back about those so we thought we'd have a chat,False,24,23,,,pending
d8BR6hsvzoY$_$6,2,1,0.3333333432674408,0.15928244590759277,0.1766379154072272,0.5702793309748612,0.2530827536179115,0.5702793309748612,0.17405089735984802,""" ""Do you have this is another colour",False,9,9,,,pending
ioupaiAuRr0$_$4,1,2,0.0,0.47794032096862793,0.13574181178302464,0.2946536309737795,0.5696045572431959,0.5696045572431959,0.47794032096862793,"There's also the Best Rating Agency, just like it sounds, Best, there's Moody's, and there's also Fitch, F-i-t-c-h.",False,40,40,,,pending
kbGhEJ4W44o$_$0,2,0,1.3333333730697632,0.11298641562461853,0.5694187834837725,0.11215411103051812,0.3184271054857094,0.5694187834837725,1.2203469574451447,"Innovation is social, not the preserve of lone geniuses; anarchic and anti-organisational, as well as needing failure and risk to succeed according to Professional Services firm Deloitte.",False,39,39,,,pending
75RGHaxmUK8$_$5,2,1,0.3333333432674408,0.1285853236913681,0.19344030329248485,0.5693235215820325,0.23723617512548278,0.5693235215820325,0.2047480195760727,An EA or Enrolled Agent is an accountant that specializes in taxation.,False,13,13,,,pending
252998$_$8,0,1,-1.6666666269302368,0.11157050728797913,0.1796084390118752,0.5681012314738068,0.252290329514318,0.5681012314738068,1.778237134218216,(uhh) The House of Yes a rounding no,False,11,11,,,pending
_BvNNdEkhZA$_$9,2,1,0.3333333432674408,0.10676853358745575,0.2095532966479499,0.567013891884065,0.223432811467985,0.567013891884065,0.22656480967998505,We also see a drum kit in the trailer too and towards the very end.,False,16,16,,,pending
VbV9S4svrTg$_$13,1,2,0.0,0.5063208341598511,0.12252037845777802,0.3120455924406808,0.5654340291015412,0.5654340291015412,0.5063208341598511,We already have a time and a place,False,8,8,,,pending
WxajvjGKz7Y$_$0,2,1,0.6666666865348816,0.15099915862083435,0.1878337188587782,0.565241922543613,0.24692435859760875,0.565241922543613,0.5156675279140472,"The second suggestion is to use a ""strategies approach""",False,11,11,,,pending
XIGpuL-Kkyk$_$0,1,0,0.0,-0.21063417196273804,0.5632616237940952,0.2634000333714192,0.17333834283448568,0.5632616237940952,0.21063417196273804,to a poor transaction using these mechanisms that are freely available to us,False,13,0,,,pending
SHa756SwGJQ$_$2,1,2,0.0,0.4427124857902527,0.12053944033070246,0.3167367308244527,0.5627238288448447,0.5627238288448447,0.4427124857902527,"After over an hour of competitive debating, constructing and deconstructing points of argument it was time for the judges and the audience to pick the winner",False,30,30,,,pending
5kaCGzjYukM$_$0,0,2,-0.3333333432674408,0.48391193151474,0.15606770690002467,0.28551496879276894,0.5584173243072064,0.5584173243072064,0.8172452747821808,"MR KIRBY: A quick note on this airstrike, which I know many of you have covered or have asked about, in Aleppo on a Doctors Without Borders hospital.",False,34,34,,,pending
247318$_$3,0,1,-2.3333332538604736,0.08179900050163269,0.2330130862905679,0.5553756999397673,0.21161121376966488,0.5553756999397673,2.4151322543621063,B here standing for bad,False,5,5,,,pending
FB_b1dm0SRY$_$10,1,0,0.0,-0.06502656638622284,0.5550615948552401,0.2154935708036451,0.22944483434111482,0.5550615948552401,0.06502656638622284,A lot of human drama happens that would not happen in a grownup life where there’s no legal obligation to show up anywhere,False,26,26,,,pending
f_ZJ7L14oYQ$_$9,1,2,0.0,0.5107170939445496,0.23586166897571326,0.2091607652398886,0.5549775657843982,0.5549775657843982,0.5107170939445496,"And all you do, you kind of take it, and it stretches out, and you stretch it over any shoes you're already wearing.",False,29,29,,,pending
270254$_$14,0,1,-1.6666666269302368,0.11971309781074524,0.20890094502193707,0.5543379317445454,0.23676112323351758,0.5543379317445454,1.786379724740982,Half the time the camera was doing three-sixties,False,10,10,,,pending
99501$_$10,0,2,-1.6666666269302368,0.546910285949707,0.2520040430249073,0.19592639081444924,0.5520695661606434,0.5520695661606434,2.213576912879944,"(uhh) The special effects are nice, but not enough to warrant any kind of purchase or rental",False,21,21,,,pending
JOK1SSmPtFw$_$13,0,2,-0.6666666865348816,0.49780821800231934,0.13091805834796016,0.3179395549134037,0.5511423867386361,0.5511423867386361,1.164474904537201,"You can’t stop it and return, so make sure you are ready when you begin",False,18,18,,,pending
RArhIHk4Qs4$_$19,2,1,0.3333333432674408,0.12584944069385529,0.22150057093707165,0.5491759407901582,0.2293234882727701,0.5491759407901582,0.2074839025735855,So the answer depends on what the actual behavior is,False,10,10,,,pending
bj9e8w4vNxo$_$12,1,2,0.0,0.481448233127594,0.15184199076629767,0.3002451269853692,0.5479128822483331,0.5479128822483331,0.481448233127594,"Now breathing can help you slow down, and calm down, and relax, but it's just a fact that you talk faster when you're nervous, and you're probably going to be nervous.",False,42,42,,,pending
223431$_$5,1,0,0.0,-0.16776630282402039,0.5456383220723899,0.2930357408620875,0.16132593706552253,0.5456383220723899,0.16776630282402039,Crashes on earth in a small town and aliens get loose and start killing all the inhabitants,False,17,17,,,pending
CJGuudyvA0Y$_$4,0,2,-0.6666666865348816,0.5035152435302734,0.1957392491229591,0.2612294187082623,0.5430313321687786,0.5430313321687786,1.170181930065155,Don't end up in this situation track all of your human resources and make sure everyone who works for you is under contract from the beginning and keep it all organized and loaded in IncMind.,False,39,22,,,pending
bpvYdXVlgvc$_$1,1,2,0.0,0.565911054611206,0.23130731127834178,0.22739001175216456,0.5413026769694937,0.5413026769694937,0.565911054611206,Now we are starting to see the Democrats fight back,False,10,10,,,pending
zhE_68GMJIk$_$8,1,2,0.0,0.497430682182312,0.19011332908648945,0.26917516765278177,0.5407115032607288,0.5407115032607288,0.497430682182312,"From having been the 4th richest country in the world in 1970, 25 years later we were only the 14th richest.",False,23,23,,,pending
102858$_$17,2,1,1.0,0.0319000780582428,0.26317787799990366,0.5403813533201984,0.196440768679898,0.5403813533201984,0.9680999219417572,I watched this thing three times in three months,False,9,9,,,pending
