样本编号,真实类别,预测类别,最高类别概率,真实强度,预测强度,强度绝对误差
7r4vRxKLFCA$_$5,Neutral,Positive,0.8204901218414307,0.0,0.8989244699478149,0.8989244699478149
mLW-jn67gRE$_$9,Neutral,Negative,0.82024085521698,0.0,-0.8415385484695435,0.8415385484695435
225770$_$1,Positive,Negative,0.8199117183685303,0.3333333432674408,-1.0743905305862427,1.4077239036560059
IM6HW1HwHhM$_$36,Neutral,Positive,0.8124236464500427,0.0,0.867499053478241,0.867499053478241
PwapK9d8IGk$_$6,Neutral,Negative,0.8118512630462646,0.0,-0.7617270946502686,0.7617270946502686
1HK7Nea0PFo$_$2,Neutral,Positive,0.8090566396713257,0.0,0.751373291015625,0.751373291015625
wF8980oGklk$_$14,Neutral,Positive,0.8090065121650696,0.0,0.7120537161827087,0.7120537161827087
TH32jop4FiI$_$8,Neutral,Negative,0.8086331486701965,0.0,-0.8318724036216736,0.8318724036216736
EmmuWoCUgXs$_$22,Negative,Positive,0.807191014289856,-0.6666666865348816,0.6513875126838684,1.31805419921875
Arh2TKRi_mg$_$9,Neutral,Positive,0.8065600991249084,0.0,0.7644795775413513,0.7644795775413513
272624$_$17,Positive,Neutral,0.806357204914093,0.3333333432674408,0.026161428540945053,0.30717191100120544
uooIiW6dEyg$_$5,Neutral,Positive,0.8048220872879028,0.0,0.7114056348800659,0.7114056348800659
80855$_$3,Neutral,Positive,0.8030131459236145,0.0,1.0162441730499268,1.0162441730499268
zjYEBwXGD8I$_$10,Neutral,Positive,0.8012288212776184,0.0,0.9807711243629456,0.9807711243629456
