样本编号,视频编号,验证折号
1F0qH0EEBfo$_$14,1F0qH0EEBfo,1
1JQ9UCBEmCU$_$1,1JQ9UCBEmCU,0
1JQ9UCBEmCU$_$0,1JQ9UCBEmCU,0
1W38PnuWIkM$_$3,1W38PnuWIkM,1
1W38PnuWIkM$_$5,1W38PnuWIkM,1
1W38PnuWIkM$_$4,1W38PnuWIkM,1
1W38PnuWIkM$_$6,1W38PnuWIkM,1
1bzS0YF5hfs$_$1,1bzS0YF5hfs,4
1dWsw38VDjY$_$9,1dWsw38VDjY,2
1fqNb8cfLFE$_$2,1fqNb8cfLFE,1
1k7br8xXMSU$_$11,1k7br8xXMSU,4
1k7br8xXMSU$_$12,1k7br8xXMSU,4
1mHjMNZZvFo$_$1,1mHjMNZZvFo,0
1mHjMNZZvFo$_$5,1mHjMNZZvFo,0
1pvK0_9SQns$_$10,1pvK0_9SQns,1
1pvK0_9SQns$_$8,1pvK0_9SQns,1
1sJjdaXXuJg$_$4,1sJjdaXXuJg,3
1tuMFJnlXJc$_$20,1tuMFJnlXJc,0
1tuMFJnlXJc$_$1,1tuMFJnlXJc,0
1tuMFJnlXJc$_$3,1tuMFJnlXJc,0
1tuMFJnlXJc$_$4,1tuMFJnlXJc,0
2-4autDbHVQ$_$12,2-4autDbHVQ,3
2-4autDbHVQ$_$19,2-4autDbHVQ,3
2-4autDbHVQ$_$8,2-4autDbHVQ,3
2-5hH_k2VFk$_$9,2-5hH_k2VFk,0
201582$_$2,201582,3
201582$_$6,201582,3
202431$_$6,202431,3
202810$_$7,202810,0
202810$_$8,202810,0
202990$_$5,202990,0
202990$_$6,202990,0
206049$_$0,206049,2
206049$_$3,206049,2
206051$_$2,206051,2
206376$_$2,206376,3
206507$_$2,206507,1
206507$_$6,206507,1
206606$_$5,206606,4
206606$_$7,206606,4
207812$_$3,207812,3
207812$_$9,207812,3
207812$_$8,207812,3
208148$_$11,208148,2
208148$_$6,208148,2
208299$_$5,208299,1
208299$_$4,208299,1
208299$_$6,208299,1
208299$_$8,208299,1
208416$_$11,208416,4
208416$_$13,208416,4
208416$_$16,208416,4
208416$_$0,208416,4
208416$_$2,208416,4
208416$_$7,208416,4
208416$_$9,208416,4
208416$_$8,208416,4
209354$_$1,209354,3
209354$_$2,209354,3
209775$_$10,209775,4
209775$_$1,209775,4
209775$_$0,209775,4
209775$_$5,209775,4
210238$_$13,210238,4
210238$_$14,210238,4
210238$_$16,210238,4
210238$_$18,210238,4
210238$_$1,210238,4
210618$_$11,210618,1
210618$_$10,210618,1
210618$_$15,210618,1
210618$_$5,210618,1
210618$_$9,210618,1
210618$_$8,210618,1
21137$_$1,21137,2
21137$_$0,21137,2
21137$_$3,21137,2
21137$_$2,21137,2
21137$_$9,21137,2
212532$_$10,212532,2
212532$_$9,212532,2
213619$_$0,213619,0
213619$_$3,213619,0
214095$_$11,214095,0
214095$_$1,214095,0
214095$_$4,214095,0
215259$_$5,215259,4
215259$_$4,215259,4
216007$_$24,216007,3
216007$_$28,216007,3
216007$_$29,216007,3
216007$_$1,216007,3
216007$_$2,216007,3
216007$_$5,216007,3
216007$_$9,216007,3
216007$_$12,216007,3
21638$_$1,21638,4
21638$_$0,21638,4
21638$_$6,21638,4
216857$_$1,216857,1
216857$_$3,216857,1
216857$_$6,216857,1
216857$_$10,216857,1
218708$_$13,218708,1
218708$_$12,218708,1
218708$_$15,218708,1
218708$_$17,218708,1
218708$_$1,218708,1
218708$_$0,218708,1
218708$_$8,218708,1
219310$_$0,219310,0
219310$_$2,219310,0
219775$_$0,219775,2
219775$_$5,219775,2
220134$_$27,220134,2
220134$_$21,220134,2
220134$_$8,220134,2
220134$_$17,220134,2
220548$_$20,220548,1
220548$_$1,220548,1
220548$_$7,220548,1
221740$_$0,221740,1
221740$_$5,221740,1
222116$_$1,222116,4
222116$_$7,222116,4
222116$_$6,222116,4
223926$_$1,223926,2
224599$_$1,224599,4
224599$_$2,224599,4
224599$_$5,224599,4
224599$_$8,224599,4
224772$_$12,224772,2
224772$_$14,224772,2
224772$_$1,224772,2
224772$_$6,224772,2
224869$_$10,224869,3
224869$_$0,224869,3
224869$_$3,224869,3
224869$_$5,224869,3
225343$_$10,225343,1
225343$_$14,225343,1
225343$_$3,225343,1
225343$_$9,225343,1
225416$_$14,225416,1
225416$_$1,225416,1
225416$_$3,225416,1
225416$_$8,225416,1
225768$_$6,225768,0
227173$_$12,227173,3
227173$_$6,227173,3
227416$_$1,227416,3
227416$_$0,227416,3
227416$_$3,227416,3
227416$_$5,227416,3
227416$_$8,227416,3
227426$_$19,227426,4
227426$_$18,227426,4
227426$_$0,227426,4
227426$_$8,227426,4
22821$_$14,22821,3
22821$_$1,22821,3
22821$_$0,22821,3
22821$_$4,22821,3
22821$_$9,22821,3
22880$_$2,22880,1
22880$_$6,22880,1
229090$_$15,229090,2
229090$_$16,229090,2
229090$_$18,229090,2
229903$_$0,229903,2
229903$_$3,229903,2
229967$_$2,229967,3
230252$_$1,230252,4
231025$_$11,231025,4
231025$_$15,231025,4
231025$_$14,231025,4
231025$_$16,231025,4
231025$_$0,231025,4
231025$_$9,231025,4
233171$_$1,233171,0
233171$_$7,233171,0
233356$_$1,233356,1
233356$_$3,233356,1
233366$_$4,233366,1
233389$_$0,233389,1
233389$_$5,233389,1
234053$_$26,234053,3
234053$_$21,234053,3
234053$_$1,234053,3
234053$_$11,234053,3
234053$_$17,234053,3
234053$_$19,234053,3
234053$_$18,234053,3
234587$_$2,234587,3
234587$_$5,234587,3
234587$_$11,234587,3
234587$_$14,234587,3
234587$_$16,234587,3
234587$_$19,234587,3
236399$_$4,236399,3
236696$_$7,236696,2
238023$_$22,238023,4
238023$_$1,238023,4
238023$_$37,238023,4
238039$_$6,238039,2
238060$_$13,238060,3
238060$_$18,238060,3
238060$_$5,238060,3
238060$_$7,238060,3
238100$_$3,238100,4
238645$_$20,238645,2
238645$_$23,238645,2
238645$_$0,238645,2
238645$_$6,238645,2
238645$_$8,238645,2
238889$_$2,238889,3
238889$_$5,238889,3
238889$_$4,238889,3
238889$_$6,238889,3
239235$_$11,239235,4
239235$_$13,239235,4
239235$_$1,239235,4
239235$_$4,239235,4
239235$_$8,239235,4
239572$_$2,239572,3
239572$_$4,239572,3
23YlZoucbyM$_$4,23YlZoucbyM,1
240915$_$1,240915,4
240915$_$2,240915,4
240915$_$8,240915,4
241164$_$10,241164,4
241164$_$1,241164,4
241164$_$0,241164,4
241164$_$9,241164,4
241172$_$3,241172,4
241172$_$7,241172,4
24202$_$10,24202,3
24202$_$5,24202,3
24202$_$4,24202,3
24202$_$9,24202,3
243338$_$20,243338,2
243338$_$21,243338,2
243338$_$22,243338,2
243338$_$9,243338,2
243341$_$23,243341,0
243341$_$2,243341,0
243341$_$7,243341,0
243341$_$10,243341,0
243341$_$14,243341,0
244180$_$20,244180,1
244180$_$4,244180,1
244180$_$19,244180,1
244180$_$18,244180,1
244261$_$24,244261,2
244261$_$20,244261,2
244261$_$4,244261,2
244261$_$7,244261,2
244261$_$12,244261,2
244261$_$14,244261,2
244623$_$4,244623,0
244623$_$9,244623,0
244623$_$11,244623,0
244623$_$17,244623,0
244623$_$37,244623,0
244817$_$2,244817,4
244817$_$5,244817,4
244817$_$9,244817,4
245243$_$4,245243,2
245276$_$2,245276,1
245276$_$4,245276,1
245276$_$7,245276,1
245497$_$1,245497,4
245497$_$2,245497,4
245497$_$4,245497,4
247382$_$1,247382,0
247382$_$2,247382,0
247382$_$6,247382,0
247382$_$9,247382,0
247382$_$11,247382,0
247382$_$13,247382,0
247382$_$14,247382,0
248837$_$12,248837,4
248837$_$6,248837,4
24xayGF5yYA$_$24,24xayGF5yYA,2
24xayGF5yYA$_$26,24xayGF5yYA,2
24xayGF5yYA$_$3,24xayGF5yYA,2
24xayGF5yYA$_$2,24xayGF5yYA,2
24xayGF5yYA$_$10,24xayGF5yYA,2
24xayGF5yYA$_$15,24xayGF5yYA,2
24xayGF5yYA$_$16,24xayGF5yYA,2
250430$_$11,250430,2
250430$_$10,250430,2
250430$_$6,250430,2
251417$_$1,251417,1
251417$_$0,251417,1
251646$_$13,251646,0
251646$_$2,251646,0
251646$_$4,251646,0
251646$_$7,251646,0
251826$_$6,251826,3
251839$_$13,251839,2
252177$_$2,252177,2
252177$_$4,252177,2
252177$_$9,252177,2
25271$_$10,25271,3
25271$_$0,25271,3
254298$_$14,254298,0
254298$_$0,254298,0
254298$_$2,254298,0
25522$_$0,25522,4
25522$_$3,25522,4
25522$_$5,25522,4
255224$_$1,255224,3
255224$_$5,255224,3
255224$_$9,255224,3
255224$_$8,255224,3
255226$_$5,255226,3
255226$_$8,255226,3
255338$_$1,255338,1
255338$_$2,255338,1
255338$_$5,255338,1
255338$_$7,255338,1
255338$_$8,255338,1
255343$_$0,255343,1
255343$_$5,255343,1
255343$_$8,255343,1
255852$_$0,255852,0
255852$_$6,255852,0
255852$_$8,255852,0
256174$_$6,256174,4
256935$_$0,256935,3
256935$_$4,256935,3
256935$_$9,256935,3
256935$_$10,256935,3
256976$_$12,256976,0
256976$_$2,256976,0
256976$_$4,256976,0
257045$_$11,257045,4
257045$_$1,257045,4
257531$_$15,257531,2
257531$_$17,257531,2
257531$_$1,257531,2
257531$_$2,257531,2
257771$_$15,257771,2
257771$_$0,257771,2
257771$_$3,257771,2
257771$_$8,257771,2
259260$_$26,259260,3
259260$_$20,259260,3
259260$_$22,259260,3
259260$_$1,259260,3
259260$_$37,259260,3
25t8nrkUfRY$_$1,25t8nrkUfRY,3
260011$_$20,260011,3
260011$_$16,260011,3
260011$_$0,260011,3
260011$_$3,260011,3
261267$_$11,261267,3
261267$_$12,261267,3
261267$_$15,261267,3
261267$_$16,261267,3
261267$_$19,261267,3
261267$_$18,261267,3
261267$_$2,261267,3
261267$_$4,261267,3
261267$_$8,261267,3
261326$_$0,261326,1
261326$_$3,261326,1
261900$_$24,261900,3
261900$_$27,261900,3
261900$_$7,261900,3
261900$_$9,261900,3
261900$_$8,261900,3
261900$_$30,261900,3
261900$_$36,261900,3
261900$_$34,261900,3
261900$_$33,261900,3
261902$_$0,261902,4
261902$_$10,261902,4
261902$_$15,261902,4
261902$_$18,261902,4
262165$_$22,262165,4
262165$_$2,262165,4
262165$_$4,262165,4
262165$_$7,262165,4
262165$_$6,262165,4
262165$_$8,262165,4
262165$_$13,262165,4
262165$_$15,262165,4
262165$_$17,262165,4
262165$_$19,262165,4
262165$_$18,262165,4
264418$_$10,264418,4
264418$_$13,264418,4
264418$_$15,264418,4
264418$_$4,264418,4
264418$_$6,264418,4
264446$_$23,264446,2
264446$_$44,264446,2
264446$_$43,264446,2
264446$_$2,264446,2
264446$_$38,264446,2
264446$_$15,264446,2
264446$_$14,264446,2
265959$_$11,265959,3
265959$_$15,265959,3
265959$_$16,265959,3
265959$_$0,265959,3
265959$_$2,265959,3
265959$_$5,265959,3
265959$_$7,265959,3
265959$_$9,265959,3
266366$_$14,266366,0
266366$_$16,266366,0
266366$_$1,266366,0
266366$_$0,266366,0
266366$_$7,266366,0
266366$_$8,266366,0
266396$_$55,266396,1
266396$_$82,266396,1
266396$_$80,266396,1
266396$_$87,266396,1
266396$_$85,266396,1
266396$_$33,266396,1
266396$_$91,266396,1
266396$_$93,266396,1
266396$_$10,266396,1
266396$_$18,266396,1
266396$_$44,266396,1
266396$_$45,266396,1
266396$_$43,266396,1
266396$_$74,266396,1
266852$_$25,266852,3
266852$_$20,266852,3
266852$_$2,266852,3
266852$_$13,266852,3
266938$_$42,266938,0
266938$_$43,266938,0
266938$_$23,266938,0
266938$_$25,266938,0
266938$_$20,266938,0
266938$_$49,266938,0
266938$_$29,266938,0
266938$_$0,266938,0
266938$_$8,266938,0
266938$_$38,266938,0
266938$_$10,266938,0
266938$_$15,266938,0
266938$_$16,266938,0
266938$_$54,266938,0
267252$_$10,267252,2
267252$_$13,267252,2
267255$_$10,267255,2
267255$_$13,267255,2
267255$_$15,267255,2
267255$_$16,267255,2
267255$_$3,267255,2
267255$_$7,267255,2
267255$_$9,267255,2
267278$_$1,267278,4
267278$_$4,267278,4
267278$_$9,267278,4
267278$_$11,267278,4
267278$_$14,267278,4
267278$_$19,267278,4
267799$_$2,267799,3
267799$_$6,267799,3
268836$_$2,268836,3
268836$_$7,268836,3
268836$_$6,268836,3
268836$_$12,268836,3
268836$_$15,268836,3
268836$_$18,268836,3
268836$_$34,268836,3
270416$_$11,270416,0
270416$_$13,270416,0
270444$_$5,270444,4
270449$_$10,270449,0
270449$_$4,270449,0
270628$_$24,270628,3
270628$_$26,270628,3
270628$_$21,270628,3
270628$_$22,270628,3
270628$_$0,270628,3
270628$_$14,270628,3
270665$_$25,270665,0
270665$_$20,270665,0
270665$_$22,270665,0
270665$_$0,270665,0
270665$_$6,270665,0
270665$_$9,270665,0
270665$_$13,270665,0
270956$_$3,270956,3
270956$_$9,270956,3
270956$_$8,270956,3
271366$_$26,271366,2
271366$_$21,271366,2
271366$_$41,271366,2
271366$_$3,271366,2
271366$_$5,271366,2
271366$_$7,271366,2
271366$_$38,271366,2
271366$_$13,271366,2
271366$_$17,271366,2
271366$_$35,271366,2
271366$_$34,271366,2
271594$_$24,271594,3
271594$_$23,271594,3
271594$_$37,271594,3
271594$_$34,271594,3
271598$_$28,271598,2
271598$_$10,271598,2
271598$_$13,271598,2
271598$_$17,271598,2
271598$_$16,271598,2
272375$_$11,272375,3
272375$_$18,272375,3
272375$_$0,272375,3
273171$_$15,273171,3
273171$_$1,273171,3
273237$_$23,273237,0
273237$_$1,273237,0
273237$_$3,273237,0
273237$_$11,273237,0
273237$_$13,273237,0
273237$_$12,273237,0
273237$_$14,273237,0
273237$_$17,273237,0
273314$_$1,273314,4
273314$_$4,273314,4
273531$_$2,273531,0
273531$_$7,273531,0
273531$_$10,273531,0
273531$_$19,273531,0
274219$_$11,274219,0
274219$_$3,274219,0
274219$_$2,274219,0
274219$_$4,274219,0
275248$_$0,275248,3
275620$_$3,275620,1
275620$_$4,275620,1
275620$_$12,275620,1
275620$_$19,275620,1
276217$_$24,276217,3
276217$_$22,276217,3
276217$_$6,276217,3
276217$_$9,276217,3
276217$_$38,276217,3
276217$_$12,276217,3
276217$_$32,276217,3
276217$_$36,276217,3
276217$_$19,276217,3
276217$_$18,276217,3
27798$_$11,27798,1
27798$_$12,27798,1
27798$_$15,27798,1
27798$_$5,27798,1
278474$_$3,278474,1
278474$_$4,278474,1
27ubp7CLLKQ$_$14,27ubp7CLLKQ,3
282560$_$15,282560,1
282560$_$1,282560,1
282560$_$3,282560,1
282560$_$5,282560,1
282560$_$4,282560,1
282560$_$7,282560,1
282560$_$6,282560,1
282560$_$9,282560,1
282586$_$25,282586,1
282586$_$22,282586,1
282586$_$3,282586,1
282586$_$4,282586,1
282586$_$12,282586,1
282586$_$16,282586,1
283495$_$7,283495,0
284673$_$14,284673,0
284673$_$18,284673,0
284673$_$5,284673,0
284673$_$8,284673,0
288714$_$15,288714,0
288714$_$17,288714,0
288714$_$5,288714,0
288714$_$8,288714,0
288766$_$21,288766,4
288766$_$2,288766,4
288766$_$7,288766,4
288766$_$17,288766,4
290088$_$4,290088,2
29044$_$12,29044,4
29044$_$3,29044,4
29044$_$2,29044,4
29044$_$4,29044,4
291121$_$7,291121,2
292277$_$10,292277,1
292277$_$2,292277,1
292277$_$5,292277,1
292277$_$4,292277,1
294178$_$11,294178,0
294178$_$14,294178,0
294178$_$1,294178,0
294178$_$0,294178,0
294178$_$3,294178,0
294178$_$7,294178,0
295793$_$14,295793,0
295793$_$3,295793,0
295793$_$9,295793,0
298736$_$26,298736,2
298736$_$22,298736,2
298736$_$28,298736,2
298736$_$0,298736,2
298736$_$7,298736,2
298736$_$17,298736,2
298736$_$16,298736,2
298736$_$32,298736,2
298774$_$12,298774,2
298774$_$15,298774,2
298774$_$17,298774,2
298774$_$1,298774,2
298774$_$4,298774,2
2Crezdbre6I$_$10,2Crezdbre6I,2
2HmBM3GGTlg$_$2,2HmBM3GGTlg,1
2HmBM3GGTlg$_$5,2HmBM3GGTlg,1
2HmBM3GGTlg$_$7,2HmBM3GGTlg,1
2JY5HXBWO84$_$20,2JY5HXBWO84,2
2JY5HXBWO84$_$14,2JY5HXBWO84,2
2LpVvLemgvw$_$5,2LpVvLemgvw,1
2PgJok07td4$_$3,2PgJok07td4,2
2RDubrUjI-k$_$8,2RDubrUjI-k,1
2RDubrUjI-k$_$4,2RDubrUjI-k,1
2YwgSmmLibs$_$6,2YwgSmmLibs,1
2ahFSMFvs_c$_$0,2ahFSMFvs_c,0
2c2fhh_Dsoo$_$4,2c2fhh_Dsoo,0
2c6Gb73nx4E$_$2,2c6Gb73nx4E,0
2cwNG0YuwtQ$_$23,2cwNG0YuwtQ,0
2cwNG0YuwtQ$_$1,2cwNG0YuwtQ,0
2cwNG0YuwtQ$_$15,2cwNG0YuwtQ,0
2f6ZHqJ76EU$_$8,2f6ZHqJ76EU,4
2h9VVQUZjK0$_$12,2h9VVQUZjK0,4
2h9VVQUZjK0$_$8,2h9VVQUZjK0,4
2lj0BaPsJpM$_$7,2lj0BaPsJpM,0
2mWPHvbKzL8$_$10,2mWPHvbKzL8,0
2mWPHvbKzL8$_$15,2mWPHvbKzL8,0
2mWPHvbKzL8$_$19,2mWPHvbKzL8,0
2mWPHvbKzL8$_$3,2mWPHvbKzL8,0
2mWPHvbKzL8$_$2,2mWPHvbKzL8,0
2mWPHvbKzL8$_$4,2mWPHvbKzL8,0
2mWPHvbKzL8$_$6,2mWPHvbKzL8,0
2qKajMu7Vhc$_$2,2qKajMu7Vhc,3
2qKajMu7Vhc$_$4,2qKajMu7Vhc,3
2vX-ZRQQDwo$_$3,2vX-ZRQQDwo,1
2vX-ZRQQDwo$_$4,2vX-ZRQQDwo,1
