样本编号,原始视频相对路径,原始文件SHA256,文件字节数,容器时长_秒,OpenCV视频时长估计_秒,音频解码时长_秒,问题一有效时长_秒,问题一清单时长_秒,有效时长差_秒,原始视频帧率,原始视频帧数,有效时长内10fps帧数,视频宽,视频高,原始音频编码,原始音频采样率_Hz,原始音频声道数,解码采样率_Hz,解码音频采样点数,波形RMS,波形峰值,波形有效起点_秒,波形有效终点_秒,NPZ是否存在,词数,NPZ音频帧数,NPZ视频帧数,首词起点_秒,末词终点_秒,词区间均在原始时长内,NPZ音频统计与原始波形一致,核验状态
-NFrJFQijFE__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,1452918,9.76,9.68,6.698313,6.698313,6.6983,-1.3e-05,25.0,242,67,1280,720,aac,44100,2,16000,107173,0.1185446709,1.1719050407,0.0,6.69,True,18,670,97,0.0,6.698312282562256,True,True,通过
-THoVjtIkeU__12,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,1262553,18.8,18.766667,14.805563,14.805563,14.8056,3.7e-05,30.0,563,149,640,360,aac,44100,2,16000,236889,0.077358533,0.5690597892,0.0,14.8,True,39,1481,188,0.0,14.125307083129883,True,True,通过
-THoVjtIkeU__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,347917,4.644,4.633333,4.230875,4.230875,4.2309,2.5e-05,30.0,139,43,640,360,aac,44100,2,16000,67694,0.0815611264,0.4699326158,0.0,4.23,True,10,424,47,0.04010308161377907,3.7095351219177246,True,True,通过
-THoVjtIkeU__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,801802,11.067,11.033333,7.982875,7.982875,7.9829,2.5e-05,30.0,331,80,640,360,aac,44100,2,16000,127726,0.0914030513,0.5886472464,0.0,7.98,True,30,799,111,0.4813793897628784,7.5616679191589355,True,True,通过
-UuX1xuaiiE__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,2032933,13.434,13.4,10.2675,10.2675,10.2675,0.0,30.0,402,103,1280,720,aac,44100,2,16000,164280,0.0753156498,0.9123340845,0.0,10.26,True,27,1027,134,0.4803508520126343,10.147412300109863,True,True,通过
-UuX1xuaiiE__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,654518,3.7,3.633333,3.575875,3.575875,3.5759,2.5e-05,30.0,109,36,1280,720,aac,44100,2,16000,57214,0.0625781355,0.4753493667,0.0,3.57,True,9,358,37,0.04017836973071098,2.993288516998291,True,True,通过
-UuX1xuaiiE__3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,1424269,10.634,10.633333,4.038375,4.038375,4.0384,2.5e-05,30.0,319,41,1280,720,aac,44100,2,16000,64614,0.0821289191,0.5342822075,0.0,4.03,True,9,404,107,0.5625597238540649,3.6566381454467773,True,True,通过
-UuX1xuaiiE__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,1662602,15.234,15.133333,7.943812,7.943812,7.9438,-1.2e-05,30.0,454,80,1280,720,aac,44100,2,16000,127101,0.0693134738,0.6067687869,0.0,7.94,True,22,795,152,0.5817438364028931,7.321948528289795,True,True,通过
-a55Q6RWvTA__3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,749365,22.617,22.6,22.083313,22.083313,22.0833,-1.3e-05,30.0,678,221,480,270,aac,44100,2,16000,353333,0.1219113977,0.7863348722,0.0,22.08,True,65,2209,226,0.7608031034469604,21.60280418395996,True,True,通过
-aNfi7CP8vM__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,430559,11.334,11.233333,8.537688,8.537688,8.5377,1.2e-05,30.0,337,86,480,360,aac,44100,2,16000,136603,0.0493180521,0.5365664363,0.0,8.53,True,18,854,113,0.5411210060119629,7.876317501068115,True,True,通过
-aqamKhZ1Ec__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,2882018,11.0,10.966667,10.890187,10.890187,10.8902,1.3e-05,30.0,329,109,1280,720,aac,44100,2,16000,174243,0.0181156456,0.1871657819,0.02,10.89,True,14,1090,110,0.0,10.89018726348877,True,True,通过
-dxfTGcXJoc__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,658423,19.7,19.633333,16.018125,16.018125,16.0181,-2.5e-05,30.0,589,161,320,240,aac,44100,2,16000,256290,0.0947923572,0.9194031358,0.0,16.01,True,36,1602,197,0.5005664229393005,15.457490921020508,True,True,通过
-dxfTGcXJoc__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,771408,20.534,20.5,20.410375,20.410375,20.4104,2.5e-05,30.0,615,205,320,240,aac,44100,2,16000,326566,0.0710396297,0.6127868891,0.12,20.41,True,42,2042,205,0.5802949666976929,19.79006004333496,True,True,通过
-dxfTGcXJoc__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,675725,19.552,19.533333,16.633187,16.633187,16.6332,1.3e-05,30.0,586,167,320,240,aac,44100,2,16000,266131,0.0995460988,0.931838274,0.0,16.63,True,35,1664,196,0.0,16.633188247680664,True,True,通过
-dxfTGcXJoc__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,428971,12.967,12.933333,12.628438,12.628438,12.6284,-3.8e-05,30.0,388,127,320,240,aac,44100,2,16000,202055,0.0868325299,0.9218583107,0.0,12.62,True,28,1263,130,0.4202808141708374,12.068062782287598,True,True,通过
-egA8-b7-3M__26,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685,688886,11.5,11.466667,5.920562,5.920562,5.9206,3.8e-05,30.0,344,60,640,360,aac,44100,2,16000,94729,0.0439977569,0.2435078025,0.0,5.92,True,15,593,115,0.5218123197555542,5.218122959136963,True,True,通过
-egA8-b7-3M__17,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f,774900,14.0,13.9,7.09525,7.09525,7.0953,5e-05,30.0,417,71,640,360,aac,44100,2,16000,113524,0.0443437496,0.2450490594,0.0,7.09,True,16,710,139,0.6213354468345642,6.514000415802002,True,True,通过
-egA8-b7-3M__18,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90,737865,13.367,13.333333,8.265688,8.265688,8.2657,1.3e-05,30.0,400,83,640,360,aac,44100,2,16000,132251,0.046308861,0.2563006282,0.0,8.26,True,22,827,134,0.5803993940353394,7.845398426055908,True,True,通过
-egA8-b7-3M__16,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c,391465,7.129,7.1,5.483,5.483,5.483,0.0,30.0,213,55,640,360,aac,44100,2,16000,87728,0.048071689,0.2700008452,0.0,5.48,True,11,549,71,0.4820219874382019,4.800135612487793,True,True,通过
-egA8-b7-3M__13,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c,394399,6.967,6.9,4.023875,4.023875,4.0239,2.5e-05,30.0,207,41,640,360,aac,44100,2,16000,64382,0.0426283173,0.2492746711,0.0,4.02,True,11,403,69,0.5231037139892578,3.601367950439453,True,True,通过
-egA8-b7-3M__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b,658247,11.534,11.5,10.15625,10.15625,10.1562,-5e-05,30.0,345,102,640,360,aac,44100,2,16000,162500,0.048327031,0.2653049827,0.0,10.15,True,20,1016,115,0.08012820780277252,9.475160598754883,True,True,通过
-egA8-b7-3M__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0,446118,8.035,8.033333,6.183125,6.183125,6.1831,-2.5e-05,30.0,241,62,640,360,aac,44100,2,16000,98930,0.043465392,0.2607860565,0.0,6.18,True,12,619,81,0.5219520926475525,5.400196552276611,True,True,通过
-egA8-b7-3M__9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c,581652,10.134,10.066667,4.936125,4.936125,4.9361,-2.5e-05,30.0,302,50,640,360,aac,44100,2,16000,78978,0.0497268351,0.2567926049,0.0,4.93,True,10,494,101,0.5618353486061096,4.314092636108398,True,True,通过
-egA8-b7-3M__20,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8,823539,14.767,14.666667,6.474437,6.474437,6.4744,-3.7e-05,30.0,440,65,640,360,aac,44100,2,16000,103591,0.0390869604,0.2614687085,0.0,6.47,True,20,648,147,0.5812962055206299,5.953275203704834,True,True,通过
-iRBcNs9oI8__3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50,988521,5.84,5.8058,5.53825,5.53825,5.5382,-5e-05,29.97003,174,56,1280,720,aac,44100,2,16000,88612,0.0976738558,1.0183960199,0.0,5.53,True,8,554,59,0.28999999165534973,5.538249969482422,True,True,通过
-iRBcNs9oI8__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081,980176,5.806,5.739067,4.00575,4.00575,4.0057,-5e-05,29.97003,172,41,1280,720,aac,44100,2,16000,64092,0.104549042,0.9167193174,0.0,4.0,True,9,401,58,0.0,4.0057501792907715,True,True,通过
-iRBcNs9oI8__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3,1286164,7.475,7.440767,2.820438,2.820438,2.8204,-3.8e-05,29.97003,223,29,1280,720,aac,44100,2,16000,45127,0.0973837805,0.7747135162,0.0,2.82,True,5,283,75,0.0,2.6050000190734863,True,True,通过
-iRBcNs9oI8__9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74,1084122,7.152,7.140467,3.374062,3.374062,3.3741,3.7e-05,29.97003,214,34,1280,720,aac,44100,2,16000,53985,0.1688395795,1.3061777353,0.0,3.37,True,5,338,72,0.0,2.4649999141693115,True,True,通过
-iRBcNs9oI8__8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412,1166371,8.642,8.6086,8.026063,8.026063,8.0261,3.7e-05,29.97003,258,81,1280,720,aac,44100,2,16000,128417,0.1042316942,1.1039881706,0.0,8.02,True,21,803,87,0.0,8.026062965393066,True,True,通过
-lzEya4AM_4__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043,333185,7.8,7.766667,7.569687,7.569687,7.5697,1.3e-05,30.0,233,76,470,360,aac,44100,2,16000,121115,0.0704060321,0.8165898323,0.0,7.56,True,19,757,78,0.5206663012504578,7.049020767211914,True,True,通过
-lzEya4AM_4__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18,1088736,22.733,22.7,14.740375,14.740375,14.7404,2.5e-05,30.0,681,148,470,360,aac,44100,2,16000,235846,0.0609972889,0.7601232529,0.0,14.74,True,43,1475,227,0.6008304953575134,14.199627876281738,True,True,通过
-mJ2ud6oKI8__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b,1040138,6.574,6.573233,6.0545,6.0545,6.0545,0.0,29.97003,197,61,1280,720,aac,44100,2,16000,96872,0.0,0.0,0.0,6.0545,True,13,606,66,0.0,6.054500102996826,True,True,通过
-mJ2ud6oKI8__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/2.mp4,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28,1471617,6.781,6.773433,5.701688,5.701688,5.7017,1.2e-05,29.97003,203,58,1280,720,aac,44100,2,16000,91227,0.0,0.0,0.0,5.701688,True,11,571,68,0.0,5.701687335968018,True,True,通过
-mJ2ud6oKI8__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/6.mp4,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d,562692,2.648,2.635967,2.228125,2.228125,2.2281,-2.5e-05,29.97003,79,23,1280,720,aac,44100,2,16000,35650,0.0815104572,0.4819697738,0.0,2.22,True,5,223,27,0.0,2.2281250953674316,True,True,通过
-mJ2ud6oKI8__9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/9.mp4,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47,1788453,10.01,9.943267,6.90875,6.90875,6.9088,5e-05,29.97003,298,70,1280,720,aac,44100,2,16000,110540,0.0686125818,0.5233227015,0.0,6.9,True,22,691,100,0.0,6.908750057220459,True,True,通过
-mJ2ud6oKI8__8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/8.mp4,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc,1578317,8.662,8.641967,4.171375,4.171375,4.1714,2.5e-05,29.97003,259,42,1280,720,aac,44100,2,16000,66742,0.0826794238,0.5928847194,0.0,4.17,True,11,418,87,0.0,4.171374797821045,True,True,通过
-mqbVkbCndg__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mqbVkbCndg/0.mp4,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda,517424,6.5,6.466667,6.3855,6.3855,6.3855,0.0,30.0,194,64,1280,720,aac,44100,2,16000,102168,0.2077923617,1.2945590019,0.0,6.38,True,14,639,65,0.16013793647289276,5.845034599304199,True,True,通过
-t217m2on-s__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/2.mp4,6713a983112173204502dc5adbb886bc6c38554b4627698611931420c47663a8,282834,8.011,8.0,5.630187,5.630187,5.6302,1.3e-05,30.0,240,57,480,270,aac,44100,2,16000,90083,0.055200913,0.4091296196,0.0,5.63,True,12,564,80,0.5209426283836365,5.069172382354736,True,True,通过
-t217m2on-s__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/7.mp4,41c76b8a733ecb780d56348f55d00f0ba0c07f44f46e93044e62d876710180b7,648501,18.7,18.6,17.026375,17.026375,17.0264,2.5e-05,30.0,558,171,480,270,aac,44100,2,16000,272422,0.0391228156,0.4066543579,0.0,17.02,True,45,1703,186,0.5602097511291504,16.48617172241211,True,True,通过
-tANM6ETl_M__3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tANM6ETl_M/3.mp4,6d3af064c060dad3816a9e1dfa00101faebd8b7da7d8ceea85b0bc0fca70abd6,1547930,9.1,9.033333,6.603625,6.603625,6.6036,-2.5e-05,30.0,271,67,1280,720,aac,44100,2,16000,105658,0.084107873,0.7082350254,0.0,6.6,True,22,661,91,0.541938841342926,6.121901512145996,True,True,通过
-tPCytz4rww__11,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/11.mp4,6dc09d02467baaef67594ff32cffb01f8ed1565cda4c5abd161b8261a51e2e5d,361198,8.0,8.0,5.378563,5.378563,5.3786,3.7e-05,30.0,240,54,480,270,aac,44100,2,16000,86057,0.0936958239,0.7352471352,0.0,5.37,True,17,538,80,0.5017315745353699,4.836692810058594,True,True,通过
-tPCytz4rww__10,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/10.mp4,758183192cbd5f0f20823d26ece3ddee40dec0aadec35247b2495510a53f52f8,512248,11.734,11.7,4.678813,4.678813,4.6788,-1.3e-05,30.0,351,47,480,270,aac,44100,2,16000,74861,0.0693852003,0.4812514782,0.0,4.67,True,12,468,117,0.6024221777915955,4.036228656768799,True,True,通过
-tPCytz4rww__12,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/12.mp4,e3c7f9cd67ad2d20fef997696dc278361f97f027db58762e22104e5720d509d5,831948,18.767,18.7,11.736187,11.736187,11.7362,1.3e-05,30.0,561,118,480,270,aac,44100,2,16000,187779,0.0678693592,0.5972798467,0.0,11.73,True,26,1174,187,0.5407458543777466,11.135358810424805,True,True,通过
-tPCytz4rww__16,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/16.mp4,8b3f82f9628792eebaf8c227becc2ebeba59bb8abb668bcca86e07fb1a992a93,550547,13.236,13.233333,7.139188,7.139188,7.1392,1.2e-05,30.0,397,72,480,270,aac,44100,2,16000,114227,0.082950565,0.6843682528,0.0,7.13,True,16,714,133,0.5815629959106445,6.597732067108154,True,True,通过
-tPCytz4rww__18,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/18.mp4,eece70451e9c37a4b5f375bf646f66e09113fe3467f35bf1720cc14d986c1776,625292,14.281,14.266667,6.568812,6.568812,6.5688,-1.2e-05,30.0,428,66,480,270,aac,44100,2,16000,105101,0.0825725183,0.7236517668,0.0,6.56,True,16,657,143,0.5407254695892334,6.028087139129639,True,True,通过
-vxjVxOeScU__4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-vxjVxOeScU/4.mp4,00282df9a314394f19d616d561bd1916d1d30dca4c814dfb43630ca164f4c719,431202,11.734,11.7,9.037062,9.037062,9.0371,3.8e-05,30.0,351,91,480,360,aac,44100,2,16000,144593,0.0747086198,0.5209630132,0.0,9.03,True,21,904,117,0.0,8.496040344238281,True,True,通过
-wMB_hJL-3o__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wMB_hJL-3o/7.mp4,04a73d73fd150b07edab8e652fd14c9cb4a0f6e017ea97b17e8146e377b9fae7,264692,7.315,7.3,5.975562,5.975562,5.9756,3.8e-05,30.0,219,60,480,360,aac,44100,2,16000,95609,0.043235945,0.3765199184,0.0,5.97,True,22,598,73,0.6015666723251343,5.514361381530762,True,True,通过
-wny0OAz3g8__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/1.mp4,c5535859f129ce04da5f5b5104d02d4168057b9d947a5349d423278ad4f3d8e8,1001717,9.1,9.1,6.776562,6.776562,6.7766,3.8e-05,30.0,273,68,1280,720,aac,44100,2,16000,108425,0.1803274408,1.1937947273,0.0,6.77,True,22,678,91,0.5613720417022705,6.235239505767822,True,True,通过
-wny0OAz3g8__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/0.mp4,1cc21b4432e2f4b592284ee40558a18acc7d208019117aebdb2f6a1b67ea198d,458092,3.334,3.333333,3.274,3.274,3.274,0.0,30.0,100,33,1280,720,aac,44100,2,16000,52384,0.1912668439,1.1865077019,0.0,3.27,True,9,328,34,0.32137423753738403,2.711595058441162,True,True,通过
-wny0OAz3g8__3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/3.mp4,ea917c506bc9fa39460f2b722f7c416f646312bb17cd74baa618905b54837bce,1314050,11.169,11.133333,6.099875,6.099875,6.0999,2.5e-05,30.0,334,61,1280,720,aac,44100,2,16000,97598,0.1851131406,1.2370434999,0.0,6.09,True,20,610,112,0.5417652130126953,5.558109760284424,True,True,通过
-wny0OAz3g8__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/2.mp4,1825fb37db2e914fb616cd80aebd613afd873eecb7edd4d0b53158bfda0e522a,1365442,11.934,11.833333,6.522687,6.522687,6.5227,1.3e-05,30.0,355,66,1280,720,aac,44100,2,16000,104363,0.1780961433,1.2553799152,0.0,6.52,True,23,653,119,0.5418847799301147,6.020942211151123,True,True,通过
