帧序号,时间_秒,原始_MFCC1,原始_RMS,标准化_MFCC1,标准化_RMS,词序号,词语
37,0.370000,-13.0941792,0.0593739823,-0.189246815,-0.746718048,1,Omi
38,0.380000,-17.7200623,0.0490419753,-0.643664359,-0.841699441,1,Omi
39,0.390000,-20.9774971,0.0412508734,-0.963654188,-0.913322478,1,Omi
40,0.400000,-20.801321,0.030448623,-0.946347763,-1.01262678,1,Omi
41,0.410000,-25.6517696,0.0326333493,-1.4228252,-0.992542753,1,Omi
42,0.420000,-18.0703659,0.0283567198,-0.678075977,-1.0318575,1,Omi
43,0.430000,-21.7844353,0.0316051915,-1.0429227,-1.00199453,1,Omi
44,0.440000,-21.1136837,0.0304732006,-0.977032299,-1.01240084,1,Omi
45,0.450000,-20.5534363,0.0324626938,-0.921997131,-0.994111577,1,Omi
46,0.460000,-19.4417553,0.0317059532,-0.812792611,-1.00106824,1,Omi
47,0.470000,-21.9057369,0.028026551,-1.05483861,-1.03489272,1,Omi
48,0.480000,-19.9519939,0.0306217968,-0.862915233,-1.01103481,1,Omi
49,0.490000,-17.5048828,0.0325899497,-0.622526489,-0.992941723,1,Omi
50,0.500000,-15.4759312,0.0307965223,-0.423215092,-1.00942857,1,Omi
51,0.510000,-6.05481148,0.0863727108,0.502256213,-0.498520689,1,Omi
52,0.520000,2.54122281,0.134046391,1.34667634,-0.0602599963,1,Omi
53,0.530000,3.29184318,0.192059383,1.42041254,0.473049246,1,Omi
54,0.540000,3.29487705,0.230948687,1.42071057,0.830555804,1,Omi
55,0.550000,1.63380969,0.261816412,1.2575378,1.11432057,1,Omi
56,0.560000,1.47563124,0.276642829,1.24199935,1.25061875,1,Omi
57,0.570000,0.308541298,0.276793957,1.12735181,1.25200806,1,Omi
58,0.580000,0.623980939,0.299772531,1.1583386,1.46324843,1,Omi
59,0.590000,0.782682717,0.298776597,1.17392846,1.45409288,1,Omi
60,0.600000,-1.79354811,0.27185753,0.920855817,1.20662784,1,Omi
61,0.610000,-6.7686224,0.246200368,0.432135935,0.970763407,1,Omi
62,0.620000,-9.79201984,0.318278044,0.135136463,1.63336828,1,Omi
63,0.630000,-10.6734877,0.420317858,0.0485466306,2.57141291,1,Omi
64,0.640000,-7.4294138,0.460416228,0.367223961,2.94003432,1,Omi
65,0.650000,-1.33074307,0.41581735,0.96631886,2.53004006,1,Omi
66,0.660000,0.715058625,0.376288831,1.1672855,2.16665725,1,Omi
67,0.670000,0.406335473,0.41354239,1.13695849,2.50912652,1,Omi
68,0.680000,0.125854298,0.415880948,1.10940579,2.53062472,1,Omi
69,0.690000,-0.75308156,0.414448172,1.02306468,2.5174533,,
70,0.700000,-0.361851573,0.407530725,1.06149664,2.45386172,,
71,0.710000,-1.79979992,0.409986824,0.920241678,2.47644045,,
72,0.720000,-0.733846307,0.377792746,1.02495423,2.18048262,,
73,0.730000,0.0564275011,0.333431244,1.10258574,1.77267054,,
74,0.740000,-0.419829905,0.338771522,1.05580122,1.82176333,,
75,0.750000,-2.96230102,0.349087328,0.806044911,1.91659579,2,and
76,0.760000,-6.45240545,0.307110697,0.463199091,1.53070766,2,and
77,0.770000,-7.71762562,0.24420552,0.338911852,0.952424911,2,and
78,0.780000,-5.01071167,0.260378093,0.604821984,1.10109821,2,and
79,0.790000,-4.57482529,0.295038164,0.64764071,1.41972573,2,and
80,0.800000,-6.65879774,0.309577197,0.442924416,1.55338201,2,and
81,0.810000,-8.73829746,0.298353136,0.238647495,1.45020003,,
82,0.820000,-10.7287483,0.264848411,0.0431181724,1.14219352,,
83,0.830000,-11.38062,0.253960967,-0.020917585,1.04210603,3,Winant
84,0.840000,-8.77265453,0.237612173,0.235272474,0.891812753,3,Winant
85,0.850000,-4.74642706,0.24922502,0.630783635,0.998568819,3,Winant
86,0.860000,-3.73954749,0.27728796,0.729693126,1.25654939,3,Winant
87,0.870000,-3.09217238,0.276894152,0.793287168,1.25292915,3,Winant
88,0.880000,-1.22262907,0.267362535,0.976939297,1.16530568,3,Winant
89,0.890000,0.617845595,0.253409833,1.15773591,1.0370395,3,Winant
90,0.900000,-0.626646161,0.236838564,1.03548489,0.884701024,3,Winant
91,0.910000,-2.73968577,0.195707053,0.827913227,0.506582014,3,Winant
92,0.920000,-5.20210171,0.147770092,0.586021036,0.065900997,3,Winant
93,0.930000,-4.64648962,0.136194631,0.640600858,-0.0405113739,3,Winant
94,0.940000,-2.0586319,0.152215585,0.894815659,0.106768095,3,Winant
95,0.950000,-1.05692697,0.149917975,0.993216826,0.0856463317,3,Winant
96,0.960000,-0.0150220795,0.13584055,1.09556698,-0.0437664185,3,Winant
97,0.970000,0.0807392523,0.126421824,1.10497397,-0.130352085,3,Winant
98,0.980000,0.406230658,0.1310848,1.13694819,-0.0874856872,3,Winant
99,0.990000,-0.236853927,0.139438093,1.07377562,-0.0106944691,3,Winant
100,1.000000,-2.86844397,0.124199226,0.815264835,-0.150784264,3,Winant
101,1.010000,-11.5625429,0.0882533342,-0.0387885431,-0.481232254,3,Winant
102,1.020000,-17.7060776,0.0555130206,-0.642290592,-0.782211589,3,Winant
103,1.030000,-18.7801361,0.0476482138,-0.74779932,-0.854512189,3,Winant
104,1.040000,-6.41071558,0.0505258515,0.467294441,-0.828058274,3,Winant
105,1.050000,-9.31349659,0.0381920598,0.182143565,-0.941441929,3,Winant
106,1.060000,-21.9312897,0.0233316198,-1.05734875,-1.07805288,3,Winant
107,1.070000,-19.7805481,0.0160233062,-0.846073476,-1.14523768,,
108,1.080000,-20.7006149,0.0359223522,-0.936455032,-0.962307187,,
109,1.090000,-8.74684525,0.0987580642,0.237807815,-0.38466303,,
110,1.100000,-7.37762022,0.13888222,0.372311835,-0.0158045687,,
111,1.110000,-2.46486926,0.173202425,0.854909466,0.299698599,,
112,1.120000,-5.26521397,0.207988814,0.579821286,0.619487351,,
113,1.130000,-7.54294109,0.241653845,0.356071756,0.928967549,,
114,1.140000,-6.66143656,0.283412904,0.442665195,1.31285556,,
115,1.150000,-5.08269405,0.274556071,0.597750889,1.23143533,4,argue
116,1.160000,-3.38039303,0.235957235,0.764974192,0.876599028,4,argue
117,1.170000,-1.67732716,0.243047237,0.932272629,0.941776907,4,argue
118,1.180000,-3.0807364,0.25156787,0.794410567,1.02010647,4,argue
119,1.190000,-5.48050785,0.20387657,0.558672174,0.581683792,4,argue
120,1.200000,-15.0557013,0.140306026,-0.38193436,-0.00271562348,4,argue
121,1.210000,-18.2914658,0.101257876,-0.699795431,-0.361682445,4,argue
122,1.220000,-20.2495918,0.0953203142,-0.89214937,-0.416266017,4,argue
123,1.230000,-23.4895325,0.0910466313,-1.21042068,-0.455553675,4,argue
124,1.240000,-24.6586857,0.0870108157,-1.32527091,-0.492654636,4,argue
125,1.250000,-22.6767254,0.0830694959,-1.13057564,-0.528886904,4,argue
126,1.260000,-11.618578,0.0783527419,-0.0442930718,-0.572247683,4,argue
127,1.270000,-9.51133347,0.0979395434,0.16270932,-0.392187632,4,argue
128,1.280000,-10.8763256,0.155546576,0.0286211118,0.137389651,4,argue
129,1.290000,-2.27360821,0.201269999,0.873697744,0.557721776,4,argue
130,1.300000,1.98505402,0.232446611,1.29204183,0.844326114,4,argue
131,1.310000,2.42701459,0.232115954,1.33545724,0.84128641,4,argue
132,1.320000,0.831694603,0.198414147,1.17874308,0.531468133,4,argue
133,1.330000,-10.2184505,0.126132235,0.0932466034,-0.133014258,,
134,1.340000,-17.7702293,0.0706718713,-0.648592456,-0.642857371,,
135,1.350000,-17.9771137,0.0439835191,-0.668915472,-0.888201463,,
136,1.360000,-5.66260576,0.142530188,0.540784025,0.017730939,,
137,1.370000,4.24057674,0.232371002,1.51361014,0.843631051,5,that
138,1.380000,6.13675499,0.295951724,1.69987871,1.42812403,5,that
139,1.390000,6.3606925,0.287071288,1.72187692,1.34648682,5,that
140,1.400000,2.37806892,0.227450952,1.33064913,0.798401382,5,that
141,1.410000,-9.33411407,0.135208338,0.180118234,-0.0495782937,5,that
142,1.420000,-15.6138134,0.074100256,-0.436759772,-0.611340478,5,that
143,1.430000,-20.3342533,0.0628321245,-0.90046598,-0.714927596,5,that
144,1.440000,-23.0606632,0.042280145,-1.16829127,-0.903860458,5,that
145,1.450000,-23.7158585,0.0308347717,-1.23265352,-1.00907695,,
146,1.460000,-11.3076715,0.0391617715,-0.0137515894,-0.93252744,,
147,1.470000,-1.08902609,0.136886656,0.99006361,-0.0341496397,6,the
148,1.480000,4.15007687,0.176611587,1.50472,0.33103878,6,the
149,1.490000,-1.81493688,0.16434297,0.918754719,0.218254264,6,the
150,1.500000,-13.5020323,0.0875460282,-0.229311731,-0.487734466,6,the
151,1.510000,-20.7964821,0.0383842289,-0.945872416,-0.939675332,6,the
152,1.520000,-26.9543495,0.028498983,-1.55078243,-1.03054968,6,the
153,1.530000,-27.9214077,0.0271569546,-1.64578011,-1.04288685,6,the
154,1.540000,-28.8615074,0.0265440568,-1.73812957,-1.04852118,6,the
155,1.550000,-18.1894016,0.0321565084,-0.689769295,-0.996926317,,
156,1.560000,-12.6284227,0.0569755919,-0.143493846,-0.768766277,,
157,1.570000,-9.39140892,0.0539136194,0.17448995,-0.796914769,,
158,1.580000,-9.80384445,0.0438771881,0.133974888,-0.889178956,,
159,1.590000,-5.12697935,0.0438792147,0.593400581,-0.889160326,7,concept
160,1.600000,-5.31386471,0.0482834205,0.575042144,-0.84867278,7,concept
161,1.610000,-5.97332764,0.0487022996,0.51026067,-0.844822055,7,concept
162,1.620000,-7.59434319,0.0480784886,0.35102234,-0.850556705,7,concept
163,1.630000,-9.12319279,0.121572278,0.200837809,-0.174933608,7,concept
164,1.640000,-0.508662283,0.248514339,1.04707489,0.99203558,7,concept
165,1.650000,-0.771581054,0.31678617,1.02124741,1.61965358,7,concept
166,1.660000,-1.83374286,0.305635422,0.916907338,1.51714557,7,concept
167,1.670000,-0.177646428,0.268885881,1.07959179,1.17930969,7,concept
168,1.680000,-1.24538064,0.25069347,0.974704327,1.01206817,7,concept
169,1.690000,-2.23072124,0.210525572,0.877910689,0.642807591,7,concept
170,1.700000,-3.56871247,0.20220387,0.746474879,0.566306782,7,concept
171,1.710000,-7.72840309,0.184823275,0.337853141,0.406528227,7,concept
172,1.720000,-11.9709148,0.149040446,-0.0789044222,0.0775792675,7,concept
173,1.730000,-12.6334877,0.0895526633,-0.143991396,-0.469287615,7,concept
174,1.740000,-12.3783197,0.0634614229,-0.118925307,-0.709142501,7,concept
175,1.750000,-8.49068451,0.0637299418,0.262971428,-0.706674026,7,concept
176,1.760000,-7.66069651,0.0523328073,0.344504208,-0.81144706,7,concept
177,1.770000,-8.35484791,0.040625792,0.276315158,-0.919068805,7,concept
178,1.780000,-13.1070881,0.0322778821,-0.190514907,-0.995810537,7,concept
179,1.790000,-6.3355794,0.224975422,0.474675345,0.775644015,7,concept
180,1.800000,3.23573303,0.325581342,1.41490064,1.70050696,7,concept
181,1.810000,1.26128078,0.357055396,1.22094292,1.98984566,7,concept
182,1.820000,-2.59291387,0.304971099,0.842331172,1.51103849,7,concept
183,1.830000,-4.99459648,0.2414428,0.606405039,0.927027426,7,concept
184,1.840000,-13.2996597,0.161389247,-0.209431929,0.191100901,7,concept
185,1.850000,-22.4447155,0.0428832732,-1.10778446,-0.898315944,7,concept
186,1.860000,-26.7621155,0.03180575,-1.53189857,-1.00015081,7,concept
187,1.870000,-26.042635,0.0310310759,-1.46122135,-1.00727234,7,concept
188,1.880000,-30.1727295,0.0297017526,-1.86693575,-1.01949271,7,concept
189,1.890000,-30.9199696,0.0257842597,-1.9403399,-1.05550594,7,concept
190,1.900000,-28.3068295,0.0298377145,-1.68364151,-1.01824282,7,concept
191,1.910000,-11.7727127,0.059308324,-0.0594342963,-0.747321639,,
192,1.920000,-3.57211637,0.236804888,0.746140501,0.884391437,,
193,1.930000,0.528879642,0.332668543,1.14899645,1.76565909,,
194,1.940000,0.239670768,0.330940664,1.1205864,1.74977482,,
195,1.950000,-2.3942554,0.277198762,0.861846126,1.2557294,,
196,1.960000,-6.81600332,0.244154185,0.427481533,0.951952997,,
197,1.970000,-8.14558887,0.205196813,0.296871444,0.59382069,8,of
198,1.980000,-10.0590277,0.162596107,0.1089073,0.202195478,8,of
199,1.990000,-10.2666559,0.125941724,0.0885112117,-0.134765615,8,of
200,2.000000,-13.4571352,0.102760062,-0.224901325,-0.347872957,8,of
201,2.010000,-15.3554564,0.0754860416,-0.411380407,-0.598601051,,
202,2.020000,-19.0467052,0.0621822104,-0.773985389,-0.72090221,,
203,2.030000,-20.1324768,0.0449892282,-0.88064473,-0.878956051,,
204,2.040000,-20.151516,0.0360857062,-0.882515017,-0.960805486,,
205,2.050000,-19.0708885,0.0354399346,-0.776361001,-0.966742018,,
206,2.060000,-12.2415419,0.129334554,-0.105489112,-0.103575569,,
207,2.070000,-4.69111586,0.21048139,0.636217059,0.64240143,9,race
208,2.080000,-1.14058709,0.248075709,0.984998583,0.98800328,9,race
209,2.090000,0.343303978,0.222095877,1.13076667,0.749172565,9,race
210,2.100000,2.26982331,0.172413021,1.32001577,0.292441666,9,race
211,2.110000,1.82301664,0.151110038,1.2761243,0.0966048815,9,race
212,2.120000,1.22791457,0.147996724,1.21766523,0.0679844063,9,race
213,2.130000,-2.17683244,0.149481714,0.883204384,0.0816358131,9,race
214,2.140000,-3.15329504,0.141995549,0.787282865,0.0128160435,9,race
215,2.150000,-3.98752141,0.128884763,0.705333734,-0.10771047,9,race
216,2.160000,-7.70320797,0.103788458,0.340328151,-0.338418985,9,race
217,2.170000,-11.7229929,0.0685416162,-0.0545501361,-0.662440652,9,race
218,2.180000,-11.0598288,0.0579973646,0.0105949211,-0.759373195,9,race
219,2.190000,-8.58939362,0.0542640761,0.253274869,-0.793693046,9,race
220,2.200000,-8.57444191,0.0438454747,0.25474363,-0.889470495,9,race
221,2.210000,-8.20387173,0.0513119698,0.291146105,-0.820831546,9,race
222,2.220000,-12.9310837,0.0597437732,-0.173225346,-0.743318586,9,race
223,2.230000,-11.2587423,0.0637534037,-0.00894509232,-0.706458343,9,race
224,2.240000,-10.5222998,0.0725560561,0.0633983748,-0.625536196,9,race
225,2.250000,-8.88528347,0.0720350891,0.224208518,-0.630325408,,
226,2.260000,-8.39641762,0.0549235977,0.272231612,-0.787630111,,
227,2.270000,-17.9977493,0.0337813571,-0.670942583,-0.9819892,,
228,2.280000,-23.6819782,0.0144763906,-1.22932533,-1.15945836,,
229,2.290000,-27.763628,0.0109760156,-1.63028083,-1.19163706,,
230,2.300000,-32.7158051,0.00809361693,-2.11675143,-1.21813474,,
231,2.310000,-12.7001524,0.0177123602,-0.150540115,-1.12971033,,
232,2.320000,-11.5694494,0.0205239821,-0.039466995,-1.10386329,,
233,2.330000,-11.3516645,0.0210990235,-0.0180731835,-1.09857698,10,came
234,2.340000,-11.1179085,0.0271229744,0.00488953621,-1.04319923,10,came
235,2.350000,-9.35109329,0.0279877428,0.178450303,-1.03524948,10,came
236,2.360000,-9.12782574,0.0259755887,0.200382697,-1.05374706,10,came
237,2.370000,-10.0642443,0.0221106242,0.108394854,-1.0892774,10,came
238,2.380000,-13.4713612,0.0666803569,-0.226298793,-0.679551074,10,came
239,2.390000,-4.90232801,0.17322965,0.61546891,0.299948871,10,came
240,2.400000,-1.19578969,0.232232675,0.979575828,0.842359416,10,came
241,2.410000,-2.61514115,0.259736598,0.840147704,1.09520099,10,came
242,2.420000,-5.35106897,0.258891612,0.571387432,1.0874331,10,came
243,2.430000,-10.5979948,0.25360164,0.0559625723,1.03880277,10,came
244,2.440000,-11.2391186,0.259462386,-0.00701737841,1.09268018,10,came
245,2.450000,-10.6728134,0.260263175,0.0486128644,1.10004177,10,came
246,2.460000,-9.39567184,0.242644623,0.174071187,0.938075701,10,came
247,2.470000,-6.87753725,0.235056177,0.421436828,0.868315664,,
248,2.480000,-4.25097227,0.256607831,0.679453985,1.06643846,,
249,2.490000,-0.212011099,0.278136313,1.07621603,1.26434824,,
250,2.500000,-2.78786087,0.260349125,0.82318081,1.10083191,,
251,2.510000,-13.3369198,0.195380226,-0.213092122,0.503577515,,
252,2.520000,-20.5610638,0.136638314,-0.922746407,-0.0364326367,,
253,2.530000,-21.4155617,0.0921821296,-1.00668689,-0.445115121,11,about
254,2.540000,-22.5077,0.064244695,-1.11397165,-0.701941938,11,about
255,2.550000,-18.8365936,0.112795897,-0.75334535,-0.25561425,11,about
256,2.560000,0.592152774,0.236974716,1.15521201,0.885952658,11,about
257,2.570000,1.97834945,0.315949321,1.29138321,1.61196049,11,about
258,2.580000,1.39870405,0.341158777,1.23444251,1.8437092,11,about
259,2.590000,-0.371094465,0.317832798,1.06058868,1.62927516,11,about
260,2.600000,-0.597522914,0.324054301,1.03834578,1.68646898,11,about
261,2.610000,0.990688264,0.339151233,1.19436162,1.82525399,11,about
262,2.620000,2.31344056,0.345508248,1.32430045,1.88369357,11,about
263,2.630000,3.31158638,0.323365986,1.42235199,1.68014136,11,about
264,2.640000,2.89807534,0.301198512,1.38173128,1.47635737,11,about
265,2.650000,0.0129249003,0.234981149,1.09831232,0.867625943,11,about
266,2.660000,-7.85797596,0.129570708,0.325124721,-0.101404626,11,about
267,2.670000,-12.1522455,0.0610711165,-0.0967172032,-0.731116416,11,about
268,2.680000,-14.351779,0.0564760193,-0.312785481,-0.773358811,11,about
269,2.690000,-14.3875313,0.0540999733,-0.316297561,-0.795201631,,
270,2.700000,-16.2393246,0.0529167503,-0.498206039,-0.806078914,,
271,2.710000,-14.112318,0.0484956279,-0.28926235,-0.846721972,,
272,2.720000,-15.3694782,0.0599925928,-0.412757828,-0.741031206,,
273,2.730000,-16.8812847,0.0601505712,-0.56126815,-0.739578922,,
274,2.740000,-14.8346481,0.045399107,-0.360219497,-0.875188065,,
275,2.750000,-19.1916504,0.0319910273,-0.788223884,-0.998447573,12,as
276,2.760000,-21.2214298,0.0193309002,-0.987616598,-1.11483121,12,as
277,2.770000,-21.4564762,0.0171453636,-1.01070607,-1.13492269,12,as
278,2.780000,-20.5243683,0.0191594921,-0.919141674,-1.11640695,12,as
279,2.790000,-17.4557343,0.0195589159,-0.617698445,-1.11273507,,
280,2.800000,-18.3368187,0.0306150522,-0.704250617,-1.01109681,,
281,2.810000,-12.64816,0.0689853132,-0.145432708,-0.658361778,,
282,2.820000,-9.76066685,0.0820545033,0.138216383,-0.538217658,,
283,2.830000,-12.0177584,0.068399407,-0.0835060347,-0.663747971,,
284,2.840000,-23.0568924,0.0363158993,-1.16792085,-0.958689337,,
285,2.850000,-29.9014683,0.0215819385,-1.84028876,-1.09413757,13,a
286,2.860000,-33.4768295,0.0174204633,-2.19150967,-1.13239371,13,a
287,2.870000,-37.0080261,0.0153262904,-2.53839213,-1.15164529,,
288,2.880000,-38.8082581,0.0146895284,-2.71523554,-1.157499,,
289,2.890000,-40.7229385,0.0108314091,-2.90332166,-1.19296641,,
290,2.900000,-23.0821533,0.0378028713,-1.17040232,-0.945019711,,
291,2.910000,1.02241361,0.0482783541,1.19747811,-0.848719355,,
292,2.920000,-3.0348897,0.0529004373,0.798914258,-0.806228879,,
293,2.930000,-5.9935379,0.0324462317,0.508275342,-0.994262912,14,tool
294,2.940000,-12.129015,0.0254701339,-0.0944351804,-1.05839367,14,tool
295,2.950000,-15.0880194,0.0180689041,-0.385109087,-1.12643265,14,tool
296,2.960000,-21.2810078,0.010363562,-0.993469159,-1.1972673,14,tool
297,2.970000,-26.4992638,0.00742636342,-1.50607768,-1.22426875,14,tool
298,2.980000,-29.2053146,0.0064587947,-1.77190302,-1.23316354,14,tool
299,2.990000,-30.1856766,0.00694811717,-1.86820759,-1.22866524,14,tool
300,3.000000,-28.5232639,0.0858528018,-1.70490267,-0.503300174,14,tool
301,3.010000,-17.1688633,0.229634538,-0.589518054,0.818474934,14,tool
302,3.020000,-14.7406769,0.287273049,-0.350988354,1.3483416,14,tool
303,3.030000,-15.5138407,0.293140829,-0.426939083,1.40228367,14,tool
304,3.040000,-14.3898163,0.278366864,-0.316522025,1.26646768,14,tool
305,3.050000,-13.4173393,0.257753074,-0.22099203,1.0769666,14,tool
306,3.060000,-14.2086334,0.239965916,-0.298723765,0.913450539,14,tool
307,3.070000,-12.020236,0.259226114,-0.083749423,1.09050815,14,tool
308,3.080000,-15.2044678,0.254881591,-0.396548243,1.05056926,14,tool
309,3.090000,-15.7580671,0.243509725,-0.450930348,0.94602852,14,tool
310,3.100000,-16.094389,0.255846232,-0.483968481,1.05943714,14,tool
311,3.110000,-15.5392332,0.285976857,-0.429433485,1.3364258,14,tool
312,3.120000,-12.1801662,0.335517794,-0.0994599587,1.79185205,14,tool
313,3.130000,-11.8760042,0.292485118,-0.0695810021,1.39625577,,
314,3.140000,-13.9347878,0.194179043,-0.271822895,0.492535131,,
315,3.150000,-14.3147736,0.0880492255,-0.309150302,-0.48310861,,
316,3.160000,-18.9694462,0.0849778131,-0.766395946,-0.511343882,,
317,3.170000,-26.4419918,0.0770022646,-1.50045164,-0.584662523,,
318,3.180000,-29.6729908,0.0440538824,-1.81784458,-0.887554618,,
319,3.190000,-10.6361561,0.0369662456,0.0522138493,-0.952710751,,
320,3.200000,-10.0298071,0.0360419415,0.111777745,-0.961207812,,
321,3.210000,-11.9325562,0.0315795764,-0.0751363069,-1.00223001,15,to
322,3.220000,-12.3162184,0.0275972262,-0.112824861,-1.03883947,15,to
323,3.230000,-13.4171047,0.063181445,-0.220968984,-0.711716318,15,to
324,3.240000,-12.5759525,0.0776184425,-0.138339504,-0.578998044,15,to
325,3.250000,-16.6751213,0.0765339062,-0.541015959,-0.588968108,15,to
326,3.260000,-25.8061066,0.0633191913,-1.43798629,-0.710450026,15,to
327,3.270000,-28.034153,0.0625556186,-1.6568555,-0.717469495,,
328,3.280000,-32.1150208,0.0663952678,-2.05773418,-0.682171877,,
329,3.290000,-34.6457291,0.0643881261,-2.30633498,-0.700623386,,
330,3.300000,-36.6074066,0.0505132452,-2.4990378,-0.828174163,,
331,3.310000,-12.0693636,0.0310415998,-0.0885754061,-1.00717559,,
332,3.320000,-9.17272663,0.0312105883,0.195971917,-1.00562209,,
333,3.330000,-4.21637964,0.0493000336,0.682852146,-0.839327129,16,justify
334,3.340000,2.67742515,0.118079439,1.360056,-0.20704303,16,justify
335,3.350000,5.66975212,0.252828211,1.6540033,1.03169269,16,justify
336,3.360000,7.95149374,0.308598191,1.87814719,1.54438208,16,justify
337,3.370000,8.64623833,0.374464035,1.94639451,2.14988203,16,justify
338,3.380000,8.18559742,0.385029316,1.90114406,2.24700789,16,justify
339,3.390000,7.68805552,0.345674187,1.85226868,1.88521903,16,justify
340,3.400000,1.96269417,0.248291269,1.28984534,0.98998491,16,justify
341,3.410000,-1.71211421,0.176814318,0.928855368,0.332902465,16,justify
342,3.420000,-4.66938305,0.128279954,0.638351953,-0.11327043,16,justify
343,3.430000,-7.20235729,0.0992667004,0.389528558,-0.379987174,16,justify
344,3.440000,-6.55276155,0.0897477791,0.453340741,-0.46749393,16,justify
345,3.450000,-5.85758114,0.069216013,0.521630876,-0.656240971,16,justify
346,3.460000,-4.95357752,0.0503937565,0.610434482,-0.829272614,16,justify
347,3.470000,-7.72824669,0.0349123515,0.337868505,-0.971592051,16,justify
348,3.480000,-10.4779053,0.0253879149,0.0677594094,-1.05914951,16,justify
349,3.490000,-16.1016731,0.0212223623,-0.484684031,-1.09744313,16,justify
350,3.500000,-19.3342648,0.0185381845,-0.802233419,-1.12211858,16,justify
351,3.510000,-23.895071,0.0155659821,-1.25025823,-1.14944183,16,justify
352,3.520000,-27.9452209,0.0110550122,-1.64811938,-1.19091085,16,justify
353,3.530000,-28.3508644,0.0106653459,-1.68796723,-1.19449302,16,justify
354,3.540000,-10.1955576,0.0223726053,0.0954954624,-1.08686903,16,justify
355,3.550000,-6.50366735,0.154678911,0.458163446,0.129413271,16,justify
356,3.560000,0.639267027,0.283501655,1.15984021,1.31367144,16,justify
357,3.570000,1.22705221,0.362052321,1.21758052,2.03578204,16,justify
358,3.580000,1.58327949,0.329445541,1.25257404,1.73603026,16,justify
359,3.590000,-1.90751672,0.24454248,0.90966026,0.95552256,16,justify
360,3.600000,-9.10122776,0.151620805,0.202995515,0.101300327,16,justify
361,3.610000,-17.7545757,0.0731098056,-0.647054745,-0.620445617,16,justify
362,3.620000,-22.0976925,0.0371325351,-1.07369511,-0.951182063,16,justify
363,3.630000,-24.084156,0.0304219257,-1.26883274,-1.01287221,16,justify
364,3.640000,-26.4249611,0.0285852887,-1.49877865,-1.02975628,16,justify
365,3.650000,-28.0432129,0.02578157,-1.65774549,-1.05553066,16,justify
366,3.660000,-23.5967731,0.0239072423,-1.22095533,-1.07276122,16,justify
367,3.670000,-20.0673065,0.118823014,-0.874242813,-0.200207395,16,justify
368,3.680000,-4.2910471,0.216880023,0.675517287,0.701223601,16,justify
