sample_id,video_id,clip_id,video_file,duration_video_sec,duration_audio_sec,source_fps,visual_sample_fps,word_count,text_dim,audio_dim,vision_dim,audio_wav2vec_dim,vision_resnet18_dim,ctc_alignment,ctc_log_confidence,audio_present,audio_rms,audio_peak,audio_active_start_sec,audio_active_end_sec,face_detection_rate,label,annotation,feature_file,word_alignment_file,status,elapsed_sec
-NFrJFQijFE__2,-NFrJFQijFE,2,-NFrJFQijFE/2.mp4,6.6983,6.6983,25.0,2.0,18,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-7.04431,True,0.11854467,1.17190504,0.0,6.6983,0.3889,0.0,Neutral,features/-NFrJFQijFE__2.npz,word_alignment/-NFrJFQijFE__2.csv,ok,2.72
-THoVjtIkeU__12,-THoVjtIkeU,12,-THoVjtIkeU/12.mp4,14.8056,14.8056,30.0,2.0,39,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.18577,True,0.07735853,0.56905979,0.0,14.285,1.0,2.0,Positive,features/-THoVjtIkeU__12.npz,word_alignment/-THoVjtIkeU__12.csv,ok,4.16
-THoVjtIkeU__2,-THoVjtIkeU,2,-THoVjtIkeU/2.mp4,4.2309,4.2309,30.0,2.0,10,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.57619,True,0.08156113,0.46993262,0.0,4.2309,0.7,1.3333333730697632,Positive,features/-THoVjtIkeU__2.npz,word_alignment/-THoVjtIkeU__2.csv,ok,1.03
-THoVjtIkeU__6,-THoVjtIkeU,6,-THoVjtIkeU/6.mp4,7.9829,7.9829,30.0,2.0,30,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.58656,True,0.09140305,0.58864725,0.42,7.555,0.7333,2.6666667461395264,Positive,features/-THoVjtIkeU__6.npz,word_alignment/-THoVjtIkeU__6.csv,ok,2.3
-UuX1xuaiiE__1,-UuX1xuaiiE,1,-UuX1xuaiiE/1.mp4,10.2675,10.2675,30.0,2.0,27,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.09346,True,0.07531565,0.91233408,0.0,10.2675,1.0,1.6666666269302368,Positive,features/-UuX1xuaiiE__1.npz,word_alignment/-UuX1xuaiiE__1.csv,ok,4.86
-UuX1xuaiiE__0,-UuX1xuaiiE,0,-UuX1xuaiiE/0.mp4,3.5759,3.5759,30.0,2.0,9,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.83271,True,0.06257814,0.47534937,0.0,3.5759,1.0,2.6666667461395264,Positive,features/-UuX1xuaiiE__0.npz,word_alignment/-UuX1xuaiiE__0.csv,ok,1.39
-UuX1xuaiiE__3,-UuX1xuaiiE,3,-UuX1xuaiiE/3.mp4,4.0384,4.0384,30.0,2.0,9,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.88666,True,0.08212892,0.53428221,0.0,4.0384,1.0,0.3333333432674408,Positive,features/-UuX1xuaiiE__3.npz,word_alignment/-UuX1xuaiiE__3.csv,ok,1.97
-UuX1xuaiiE__6,-UuX1xuaiiE,6,-UuX1xuaiiE/6.mp4,7.9438,7.9438,30.0,2.0,22,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.38251,True,0.06931347,0.60676879,0.0,7.9438,1.0,-0.3333333432674408,Negative,features/-UuX1xuaiiE__6.npz,word_alignment/-UuX1xuaiiE__6.csv,ok,4.25
-a55Q6RWvTA__3,-a55Q6RWvTA,3,-a55Q6RWvTA/3.mp4,22.0833,22.0833,30.0,2.0,65,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.12951,True,0.1219114,0.78633487,0.0,21.685,1.0,0.6666666865348816,Positive,features/-a55Q6RWvTA__3.npz,word_alignment/-a55Q6RWvTA__3.csv,ok,3.83
-aNfi7CP8vM__7,-aNfi7CP8vM,7,-aNfi7CP8vM/7.mp4,8.5377,8.5377,30.0,2.0,18,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.07776,True,0.04931805,0.53656644,0.43,8.5377,1.0,0.0,Neutral,features/-aNfi7CP8vM__7.npz,word_alignment/-aNfi7CP8vM__7.csv,ok,1.74
-aqamKhZ1Ec__0,-aqamKhZ1Ec,0,-aqamKhZ1Ec/0.mp4,10.8902,10.8902,30.0,2.0,14,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.25469,True,0.01811565,0.18716578,0.0,10.8902,1.0,-2.0,Negative,features/-aqamKhZ1Ec__0.npz,word_alignment/-aqamKhZ1Ec__0.csv,ok,3.3
-dxfTGcXJoc__1,-dxfTGcXJoc,1,-dxfTGcXJoc/1.mp4,16.0181,16.0181,30.0,2.0,36,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.14829,True,0.09479236,0.91940314,0.44,15.585,1.0,1.6666666269302368,Positive,features/-dxfTGcXJoc__1.npz,word_alignment/-dxfTGcXJoc__1.csv,ok,2.44
-dxfTGcXJoc__0,-dxfTGcXJoc,0,-dxfTGcXJoc/0.mp4,20.4104,20.4104,30.0,2.0,42,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.15424,True,0.07103963,0.61278689,0.49,19.755,0.7857,1.0,Positive,features/-dxfTGcXJoc__0.npz,word_alignment/-dxfTGcXJoc__0.csv,ok,3.01
-dxfTGcXJoc__2,-dxfTGcXJoc,2,-dxfTGcXJoc/2.mp4,16.6332,16.6332,30.0,2.0,35,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.09559,True,0.0995461,0.93183827,0.42,15.985,1.0,0.6666666865348816,Positive,features/-dxfTGcXJoc__2.npz,word_alignment/-dxfTGcXJoc__2.csv,ok,2.68
-dxfTGcXJoc__6,-dxfTGcXJoc,6,-dxfTGcXJoc/6.mp4,12.6284,12.6284,30.0,2.0,28,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.08329,True,0.08683253,0.92185831,0.34,12.025,1.0,0.6666666865348816,Positive,features/-dxfTGcXJoc__6.npz,word_alignment/-dxfTGcXJoc__6.csv,ok,1.78
-egA8-b7-3M__26,-egA8-b7-3M,26,-egA8-b7-3M/26.mp4,5.9206,5.9206,30.0,2.0,15,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.12808,True,0.04399776,0.2435078,0.0,5.445,1.0,1.6666666269302368,Positive,features/-egA8-b7-3M__26.npz,word_alignment/-egA8-b7-3M__26.csv,ok,1.92
-egA8-b7-3M__17,-egA8-b7-3M,17,-egA8-b7-3M/17.mp4,7.0953,7.0953,30.0,2.0,16,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.05367,True,0.04434375,0.24504906,0.42,7.0953,1.0,0.3333333432674408,Positive,features/-egA8-b7-3M__17.npz,word_alignment/-egA8-b7-3M__17.csv,ok,2.47
-egA8-b7-3M__18,-egA8-b7-3M,18,-egA8-b7-3M/18.mp4,8.2657,8.2657,30.0,2.0,22,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.06831,True,0.04630886,0.25630063,0.42,7.915,1.0,1.0,Positive,features/-egA8-b7-3M__18.npz,word_alignment/-egA8-b7-3M__18.csv,ok,2.48
-egA8-b7-3M__16,-egA8-b7-3M,16,-egA8-b7-3M/16.mp4,5.483,5.483,30.0,2.0,11,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.03067,True,0.04807169,0.27000085,0.42,5.005,1.0,0.6666666865348816,Positive,features/-egA8-b7-3M__16.npz,word_alignment/-egA8-b7-3M__16.csv,ok,1.44
-egA8-b7-3M__13,-egA8-b7-3M,13,-egA8-b7-3M/13.mp4,4.0239,4.0239,30.0,2.0,11,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.79622,True,0.04262832,0.24927467,0.43,3.735,1.0,0.3333333432674408,Positive,features/-egA8-b7-3M__13.npz,word_alignment/-egA8-b7-3M__13.csv,ok,1.45
-egA8-b7-3M__1,-egA8-b7-3M,1,-egA8-b7-3M/1.mp4,10.1562,10.1562,30.0,2.0,20,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.1861,True,0.04832703,0.26530498,0.0,9.725,1.0,0.6666666865348816,Positive,features/-egA8-b7-3M__1.npz,word_alignment/-egA8-b7-3M__1.csv,ok,2.22
-egA8-b7-3M__6,-egA8-b7-3M,6,-egA8-b7-3M/6.mp4,6.1831,6.1831,30.0,2.0,12,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.2046,True,0.04346539,0.26078606,0.42,5.665,1.0,0.6666666865348816,Positive,features/-egA8-b7-3M__6.npz,word_alignment/-egA8-b7-3M__6.csv,ok,1.86
-egA8-b7-3M__9,-egA8-b7-3M,9,-egA8-b7-3M/9.mp4,4.9361,4.9361,30.0,2.0,10,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.02686,True,0.04972684,0.2567926,0.38,4.525,1.0,0.3333333432674408,Positive,features/-egA8-b7-3M__9.npz,word_alignment/-egA8-b7-3M__9.csv,ok,1.61
-egA8-b7-3M__20,-egA8-b7-3M,20,-egA8-b7-3M/20.mp4,6.4744,6.4744,30.0,2.0,20,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.02479,True,0.03908696,0.26146871,0.4,6.065,1.0,0.3333333432674408,Positive,features/-egA8-b7-3M__20.npz,word_alignment/-egA8-b7-3M__20.csv,ok,2.77
-iRBcNs9oI8__3,-iRBcNs9oI8,3,-iRBcNs9oI8/3.mp4,5.5382,5.5382,29.97,2.0,8,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-6.13285,True,0.09767386,1.01839602,0.29,5.5382,1.0,0.6666666865348816,Positive,features/-iRBcNs9oI8__3.npz,word_alignment/-iRBcNs9oI8__3.csv,ok,1.83
-iRBcNs9oI8__7,-iRBcNs9oI8,7,-iRBcNs9oI8/7.mp4,4.0057,4.0057,29.97,2.0,9,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-8.89044,True,0.10454904,0.91671932,0.0,4.0057,0.8889,0.6666666865348816,Positive,features/-iRBcNs9oI8__7.npz,word_alignment/-iRBcNs9oI8__7.csv,ok,1.46
-iRBcNs9oI8__6,-iRBcNs9oI8,6,-iRBcNs9oI8/6.mp4,2.8204,2.8204,29.97,2.0,5,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-6.3646,True,0.09738378,0.77471352,0.0,2.605,1.0,0.3333333432674408,Positive,features/-iRBcNs9oI8__6.npz,word_alignment/-iRBcNs9oI8__6.csv,ok,1.75
-iRBcNs9oI8__9,-iRBcNs9oI8,9,-iRBcNs9oI8/9.mp4,3.3741,3.3741,29.97,2.0,5,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-8.44266,True,0.16883958,1.30617774,0.0,2.465,0.2,1.3333333730697632,Positive,features/-iRBcNs9oI8__9.npz,word_alignment/-iRBcNs9oI8__9.csv,ok,1.74
-iRBcNs9oI8__8,-iRBcNs9oI8,8,-iRBcNs9oI8/8.mp4,8.0261,8.0261,29.97,2.0,21,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-9.42319,True,0.10423169,1.10398817,0.0,8.0261,1.0,1.0,Positive,features/-iRBcNs9oI8__8.npz,word_alignment/-iRBcNs9oI8__8.csv,ok,2.46
-lzEya4AM_4__5,-lzEya4AM_4,5,-lzEya4AM_4/5.mp4,7.5697,7.5697,30.0,2.0,19,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.29799,True,0.07040603,0.81658983,0.43,7.115,1.0,-0.6666666865348816,Negative,features/-lzEya4AM_4__5.npz,word_alignment/-lzEya4AM_4__5.csv,ok,1.61
-lzEya4AM_4__6,-lzEya4AM_4,6,-lzEya4AM_4/6.mp4,14.7404,14.7404,30.0,2.0,43,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.11643,True,0.06099729,0.76012325,0.44,14.275,1.0,-0.3333333432674408,Negative,features/-lzEya4AM_4__6.npz,word_alignment/-lzEya4AM_4__6.csv,ok,3.84
-mJ2ud6oKI8__1,-mJ2ud6oKI8,1,-mJ2ud6oKI8/1.mp4,6.0545,6.0545,29.97,2.0,13,768,74,49,768,512,proportional_fallback_silent_audio,,False,0.0,0.0,0.0,6.0545,0.0,0.0,Neutral,features/-mJ2ud6oKI8__1.npz,word_alignment/-mJ2ud6oKI8__1.csv,ok,1.88
-mJ2ud6oKI8__2,-mJ2ud6oKI8,2,-mJ2ud6oKI8/2.mp4,5.7017,5.7017,29.97,2.0,11,768,74,49,768,512,proportional_fallback_silent_audio,,False,0.0,0.0,0.0,5.7017,0.4545,0.0,Neutral,features/-mJ2ud6oKI8__2.npz,word_alignment/-mJ2ud6oKI8__2.csv,ok,2.43
-mJ2ud6oKI8__6,-mJ2ud6oKI8,6,-mJ2ud6oKI8/6.mp4,2.2281,2.2281,29.97,2.0,5,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-5.46146,True,0.08151046,0.48196977,0.0,2.2281,1.0,0.3333333432674408,Positive,features/-mJ2ud6oKI8__6.npz,word_alignment/-mJ2ud6oKI8__6.csv,ok,1.0
-mJ2ud6oKI8__9,-mJ2ud6oKI8,9,-mJ2ud6oKI8/9.mp4,6.9088,6.9088,29.97,2.0,22,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-6.6334,True,0.06861258,0.5233227,0.0,6.9088,0.9545,0.0,Neutral,features/-mJ2ud6oKI8__9.npz,word_alignment/-mJ2ud6oKI8__9.csv,ok,3.77
-mJ2ud6oKI8__8,-mJ2ud6oKI8,8,-mJ2ud6oKI8/8.mp4,4.1714,4.1714,29.97,2.0,11,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-6.56435,True,0.08267942,0.59288472,0.0,4.1714,1.0,-0.3333333432674408,Negative,features/-mJ2ud6oKI8__8.npz,word_alignment/-mJ2ud6oKI8__8.csv,ok,3.06
-mqbVkbCndg__0,-mqbVkbCndg,0,-mqbVkbCndg/0.mp4,6.3855,6.3855,30.0,2.0,14,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.03064,True,0.20779236,1.294559,0.1,5.955,1.0,0.0,Neutral,features/-mqbVkbCndg__0.npz,word_alignment/-mqbVkbCndg__0.csv,ok,1.71
-t217m2on-s__2,-t217m2on-s,2,-t217m2on-s/2.mp4,5.6302,5.6302,30.0,2.0,12,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.69541,True,0.05520091,0.40912962,0.45,5.115,1.0,0.6666666865348816,Positive,features/-t217m2on-s__2.npz,word_alignment/-t217m2on-s__2.csv,ok,1.27
-t217m2on-s__7,-t217m2on-s,7,-t217m2on-s/7.mp4,17.0264,17.0264,30.0,2.0,45,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.04643,True,0.03912282,0.40665436,0.59,16.535,1.0,-0.6666666865348816,Negative,features/-t217m2on-s__7.npz,word_alignment/-t217m2on-s__7.csv,ok,2.67
-tANM6ETl_M__3,-tANM6ETl_M,3,-tANM6ETl_M/3.mp4,6.6036,6.6036,30.0,2.0,22,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.31126,True,0.08410787,0.70823503,0.44,6.145,1.0,0.3333333432674408,Positive,features/-tANM6ETl_M__3.npz,word_alignment/-tANM6ETl_M__3.csv,ok,3.24
-tPCytz4rww__11,-tPCytz4rww,11,-tPCytz4rww/11.mp4,5.3786,5.3786,30.0,2.0,17,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.14715,True,0.09369582,0.73524714,0.0,5.3786,1.0,0.0,Neutral,features/-tPCytz4rww__11.npz,word_alignment/-tPCytz4rww__11.csv,ok,1.51
-tPCytz4rww__10,-tPCytz4rww,10,-tPCytz4rww/10.mp4,4.6788,4.6788,30.0,2.0,12,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.05276,True,0.0693852,0.48125148,0.0,4.6788,1.0,0.0,Neutral,features/-tPCytz4rww__10.npz,word_alignment/-tPCytz4rww__10.csv,ok,1.54
-tPCytz4rww__12,-tPCytz4rww,12,-tPCytz4rww/12.mp4,11.7362,11.7362,30.0,2.0,26,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.32485,True,0.06786936,0.59727985,0.0,11.7362,1.0,0.0,Neutral,features/-tPCytz4rww__12.npz,word_alignment/-tPCytz4rww__12.csv,ok,2.8
-tPCytz4rww__16,-tPCytz4rww,16,-tPCytz4rww/16.mp4,7.1392,7.1392,30.0,2.0,16,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.61349,True,0.08295056,0.68436825,0.0,7.1392,1.0,0.0,Neutral,features/-tPCytz4rww__16.npz,word_alignment/-tPCytz4rww__16.csv,ok,2.05
-tPCytz4rww__18,-tPCytz4rww,18,-tPCytz4rww/18.mp4,6.5688,6.5688,30.0,2.0,16,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.36209,True,0.08257252,0.72365177,0.0,6.5688,1.0,0.0,Neutral,features/-tPCytz4rww__18.npz,word_alignment/-tPCytz4rww__18.csv,ok,2.2
-vxjVxOeScU__4,-vxjVxOeScU,4,-vxjVxOeScU/4.mp4,9.0371,9.0371,30.0,2.0,21,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.64102,True,0.07470862,0.52096301,0.0,9.0371,1.0,1.0,Positive,features/-vxjVxOeScU__4.npz,word_alignment/-vxjVxOeScU__4.csv,ok,1.57
-wMB_hJL-3o__7,-wMB_hJL-3o,7,-wMB_hJL-3o/7.mp4,5.9756,5.9756,30.0,2.0,22,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.25483,True,0.04323595,0.37651992,0.56,5.475,1.0,0.3333333432674408,Positive,features/-wMB_hJL-3o__7.npz,word_alignment/-wMB_hJL-3o__7.csv,ok,1.13
-wny0OAz3g8__1,-wny0OAz3g8,1,-wny0OAz3g8/1.mp4,6.7766,6.7766,30.0,2.0,22,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.04668,True,0.18032744,1.19379473,0.0,6.7766,1.0,0.3333333432674408,Positive,features/-wny0OAz3g8__1.npz,word_alignment/-wny0OAz3g8__1.csv,ok,2.73
-wny0OAz3g8__0,-wny0OAz3g8,0,-wny0OAz3g8/0.mp4,3.274,3.274,30.0,2.0,9,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.03953,True,0.19126684,1.1865077,0.21,3.274,1.0,0.3333333432674408,Positive,features/-wny0OAz3g8__0.npz,word_alignment/-wny0OAz3g8__0.csv,ok,1.1
-wny0OAz3g8__3,-wny0OAz3g8,3,-wny0OAz3g8/3.mp4,6.0999,6.0999,30.0,2.0,20,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.03448,True,0.18511314,1.2370435,0.0,6.0999,1.0,-1.3333333730697632,Negative,features/-wny0OAz3g8__3.npz,word_alignment/-wny0OAz3g8__3.csv,ok,2.61
-wny0OAz3g8__2,-wny0OAz3g8,2,-wny0OAz3g8/2.mp4,6.5227,6.5227,30.0,2.0,23,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.09488,True,0.17809614,1.25537992,0.0,6.5227,1.0,-0.3333333432674408,Negative,features/-wny0OAz3g8__2.npz,word_alignment/-wny0OAz3g8__2.csv,ok,2.59
-wny0OAz3g8__5,-wny0OAz3g8,5,-wny0OAz3g8/5.mp4,6.7414,6.7414,30.0,2.0,20,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.10471,True,0.17997462,1.21680772,0.0,6.7414,1.0,1.0,Positive,features/-wny0OAz3g8__5.npz,word_alignment/-wny0OAz3g8__5.csv,ok,2.77
-wny0OAz3g8__7,-wny0OAz3g8,7,-wny0OAz3g8/7.mp4,7.9105,7.9105,30.0,2.0,29,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.0729,True,0.17774702,1.07762957,0.0,7.9105,1.0,0.0,Neutral,features/-wny0OAz3g8__7.npz,word_alignment/-wny0OAz3g8__7.csv,ok,2.87
-wny0OAz3g8__9,-wny0OAz3g8,9,-wny0OAz3g8/9.mp4,6.0435,6.0435,30.0,2.0,20,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.31448,True,0.15242746,0.88309741,0.0,6.0435,1.0,0.6666666865348816,Positive,features/-wny0OAz3g8__9.npz,word_alignment/-wny0OAz3g8__9.csv,ok,2.37
-571d8cVauQ__0,-571d8cVauQ,0,-571d8cVauQ/0.mp4,4.9923,4.9923,30.0,2.0,12,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.52835,True,0.01644318,0.1815075,1.0,4.9923,0.8333,0.0,Neutral,features/-571d8cVauQ__0.npz,word_alignment/-571d8cVauQ__0.csv,ok,0.99
-571d8cVauQ__5,-571d8cVauQ,5,-571d8cVauQ/5.mp4,15.1152,15.1152,30.0,2.0,43,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.22335,True,0.01939859,0.17488787,0.0,15.1152,1.0,0.3333333432674408,Positive,features/-571d8cVauQ__5.npz,word_alignment/-571d8cVauQ__5.csv,ok,3.31
-I_e4mIh0yE__1,-I_e4mIh0yE,1,-I_e4mIh0yE/1.mp4,7.4443,7.4443,30.0,2.0,18,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.02919,True,0.05464201,0.78430063,0.0,7.4443,1.0,-0.6666666865348816,Negative,features/-I_e4mIh0yE__1.npz,word_alignment/-I_e4mIh0yE__1.csv,ok,1.66
-I_e4mIh0yE__3,-I_e4mIh0yE,3,-I_e4mIh0yE/3.mp4,8.9944,8.9944,30.0,2.0,22,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.15919,True,0.0531574,0.69531494,0.44,8.9944,1.0,0.6666666865348816,Positive,features/-I_e4mIh0yE__3.npz,word_alignment/-I_e4mIh0yE__3.csv,ok,1.71
-UacrmKiTn4__10,-UacrmKiTn4,10,-UacrmKiTn4/10.mp4,7.2421,7.2421,30.0,2.0,18,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.09369,True,0.03595346,0.23898254,0.0,6.795,1.0,-0.6666666865348816,Negative,features/-UacrmKiTn4__10.npz,word_alignment/-UacrmKiTn4__10.csv,ok,1.79
-UacrmKiTn4__4,-UacrmKiTn4,4,-UacrmKiTn4/4.mp4,4.6819,4.6819,30.0,2.0,14,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.02929,True,0.03612942,0.36950803,0.45,4.6819,1.0,-1.3333333730697632,Negative,features/-UacrmKiTn4__4.npz,word_alignment/-UacrmKiTn4__4.csv,ok,0.99
-hnBHBN8p5A__7,-hnBHBN8p5A,7,-hnBHBN8p5A/7.mp4,7.3086,7.3086,23.976,2.0,13,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-8.34433,True,0.0783069,0.78732371,0.0,7.3086,0.9231,0.6666666865348816,Positive,features/-hnBHBN8p5A__7.npz,word_alignment/-hnBHBN8p5A__7.csv,ok,2.81
-hnBHBN8p5A__6,-hnBHBN8p5A,6,-hnBHBN8p5A/6.mp4,6.3328,6.3328,23.976,2.0,13,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-7.62268,True,0.08975384,0.97991979,0.35,6.3328,0.3077,1.0,Positive,features/-hnBHBN8p5A__6.npz,word_alignment/-hnBHBN8p5A__6.csv,ok,2.64
-qDkUB0GgYY__6,-qDkUB0GgYY,6,-qDkUB0GgYY/6.mp4,4.6147,4.6147,30.0,2.0,16,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-1.06414,True,0.03136227,0.26369348,0.0,4.6147,1.0,1.3333333730697632,Positive,features/-qDkUB0GgYY__6.npz,word_alignment/-qDkUB0GgYY__6.csv,ok,1.22
-uywlfIYOS8__4,-uywlfIYOS8,4,-uywlfIYOS8/4.mp4,5.8811,5.8811,30.0,2.0,18,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.24749,True,0.05415699,0.38113534,0.0,5.8811,1.0,0.3333333432674408,Positive,features/-uywlfIYOS8__4.npz,word_alignment/-uywlfIYOS8__4.csv,ok,1.87
