sample_id,coalition_bitmask,class_margin,intensity,target_probability,target_class,contrast_class
04,1,2.536611252838071,-1.3536016941070557,0.8812264443726383,Negative,Positive
04,2,-1.9602739890029046,1.1518950462341309,0.1100110254302917,Negative,Positive
04,3,0.2648263099491135,0.33704984188079834,0.508053742841273,Negative,Positive
04,4,-1.8497330803172807,1.2070581912994385,0.1232897663122794,Negative,Positive
04,5,0.7923057320527288,0.0699893981218338,0.6520574611228603,Negative,Positive
04,6,-1.8743318848606934,1.1657310724258423,0.11870385291317938,Negative,Positive
04,7,0.26501207044532804,0.3528187572956085,0.5145858908271831,Negative,Positive
05,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
05,1,1.3395335844555731,0.7806975841522217,0.7296941726388279,Positive,Neutral
05,2,0.3912289906124199,0.3170241415500641,0.48150071168039055,Positive,Neutral
05,3,0.822437687127314,0.48907470703125,0.6290890109013496,Positive,Neutral
05,4,1.7454810138289336,0.9215376377105713,0.7276154134370664,Positive,Neutral
05,5,1.5492795937086805,0.8744246363639832,0.7634930305222364,Positive,Neutral
05,6,0.8765572792550003,0.5064031481742859,0.5863096881546384,Positive,Neutral
05,7,0.8165110041583873,0.5376254320144653,0.6234422780854358,Positive,Neutral
06,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
06,1,2.011638059126045,1.203589677810669,0.8218816514914422,Positive,Neutral
06,2,0.2835882932408116,0.37336358428001404,0.4627780297210395,Positive,Neutral
06,3,1.4153069051854976,0.7966148257255554,0.7363347522443652,Positive,Neutral
06,4,0.17874506374911858,-0.24703949689865112,0.22844600662334744,Positive,Neutral
06,5,1.2716112817160155,0.6822504997253418,0.6992151007632409,Positive,Neutral
06,6,0.02327864092633658,0.20643222332000732,0.3514313976439217,Positive,Neutral
06,7,0.7676577429741022,0.5459246635437012,0.5918729157089866,Positive,Neutral
07,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
07,1,1.6683337967113276,0.9062533378601074,0.7830190471583343,Positive,Neutral
07,2,0.22823257677623066,0.27659159898757935,0.4434979147073722,Positive,Neutral
07,3,1.2032962767796065,0.6293512582778931,0.7039260759272071,Positive,Neutral
07,4,1.0074114752275047,0.4024235010147095,0.5507304613105218,Positive,Neutral
07,5,1.6104920692240703,0.7654509544372559,0.7689942668024146,Positive,Neutral
07,6,0.6667853267988799,0.29241013526916504,0.4853769286257493,Positive,Neutral
07,7,1.1120974289050283,0.589529275894165,0.6768653330739582,Positive,Neutral
08,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
08,1,2.0150355100449047,1.2816684246063232,0.8194869373097997,Positive,Neutral
08,2,-0.190728778049714,0.2265591323375702,0.3716742716961244,Positive,Neutral
08,3,1.6624820948974453,0.9394732713699341,0.7839963558409534,Positive,Neutral
08,4,0.04496351658179609,0.08201450109481812,0.3078034204684086,Positive,Neutral
08,5,1.6040070379119193,0.905870795249939,0.7606850661755388,Positive,Neutral
08,6,-0.3326423572619853,0.15314197540283203,0.3061390409774096,Positive,Neutral
08,7,0.8398315179498255,0.5811564922332764,0.6202583035475695,Positive,Neutral
09,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
09,1,2.860498482001207,-1.9824540615081787,0.8956975304577899,Negative,Positive
09,2,-1.703276861215343,0.8672970533370972,0.12974609392615177,Negative,Positive
09,3,2.724602256274366,-1.582444667816162,0.9012231544395094,Negative,Positive
09,4,0.1777549008030922,0.08566732704639435,0.3981618898337094,Negative,Positive
09,5,3.0717176026906357,-1.933073878288269,0.920633853789903,Negative,Positive
09,6,-0.5784288815408825,0.32440266013145447,0.26217965529325116,Negative,Positive
09,7,3.0608536816332577,-1.7650426626205444,0.9279511892474119,Negative,Positive
10,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
10,1,2.9497188081108954,-1.8885995149612427,0.9039710669397011,Negative,Positive
10,2,-1.6220610788739853,0.9394140243530273,0.14470766978360777,Negative,Positive
10,3,2.656648457063448,-1.3637511730194092,0.8991264589448645,Negative,Positive
10,4,-1.2550474735085184,0.8706598281860352,0.19071331461462873,Negative,Positive
10,5,2.922226232958364,-1.5365521907806396,0.9165344327511842,Negative,Positive
10,6,-1.2424825103447954,0.8142921924591064,0.19237850593372394,Negative,Positive
10,7,2.847167743746177,-1.3617502450942993,0.9182501369267354,Negative,Positive
11,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
11,1,2.684778155612215,-1.5232913494110107,0.8908137481451351,Negative,Positive
11,2,-0.58187195273777,0.1313261091709137,0.20359751683517716,Negative,Positive
11,3,2.4221923973290997,-0.958610475063324,0.8715103724184167,Negative,Positive
11,4,-0.4095619936814563,0.24140435457229614,0.3119017459731603,Negative,Positive
11,5,2.83527348575427,-1.5059750080108643,0.9129461623030638,Negative,Positive
11,6,-0.38678465519201644,0.13321858644485474,0.2565184432345989,Negative,Positive
11,7,2.8513449059673808,-1.3264981508255005,0.9148722322739451,Negative,Positive
12,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
12,1,2.970796625605371,-1.5841765403747559,0.905237576237998,Negative,Positive
12,2,-1.0513644641053301,0.3875378668308258,0.17307047340358875,Negative,Positive
12,3,2.2950480052770477,-0.8501282334327698,0.8369416001308104,Negative,Positive
12,4,-0.06033301670094926,0.1765272617340088,0.34610899533344086,Negative,Positive
12,5,2.864627572428338,-1.3077106475830078,0.9075208351654259,Negative,Positive
12,6,-0.3122288271802971,0.23330318927764893,0.27486835421571276,Negative,Positive
12,7,2.577196331684904,-1.0081589221954346,0.8830824286117898,Negative,Positive
13,0,-1.089895473409628,0.16583210229873657,0.15876829043619456,Neutral,Positive
13,1,0.2113888436364243,0.21406251192092896,0.47617840039914905,Neutral,Positive
13,2,0.44373322779778046,0.13264651596546173,0.48778409040302106,Neutral,Positive
13,3,0.5997647074232448,0.1257621794939041,0.5445205625075185,Neutral,Positive
13,4,-1.089895473409628,0.16583210229873657,0.15876829043619456,Neutral,Positive
13,5,0.2113888436364243,0.21406251192092896,0.47617840039914905,Neutral,Positive
13,6,0.44373322779778046,0.13264651596546173,0.48778409040302106,Neutral,Positive
13,7,0.5997647074232448,0.1257621794939041,0.5445205625075185,Neutral,Positive
14,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
14,1,-0.588084871938678,0.18332397937774658,0.29977161636924887,Positive,Neutral
14,2,0.722035700383416,0.538475751876831,0.5781895316055766,Positive,Neutral
14,3,-0.36751515481614727,0.1969124972820282,0.3451258259184545,Positive,Neutral
14,4,2.0877006009037813,1.1973602771759033,0.7672920257888437,Positive,Neutral
14,5,0.7800755638066317,0.5160076022148132,0.6109231349148888,Positive,Neutral
14,6,1.658111630080028,0.9895744323730469,0.7448829911322639,Positive,Neutral
14,7,0.5038769695797842,0.45192015171051025,0.5458906873035573,Positive,Neutral
15,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
15,1,2.1908489845158674,1.3810737133026123,0.8353987183802194,Positive,Neutral
15,2,1.970411670229617,1.1136810779571533,0.7668394361843339,Positive,Neutral
15,3,2.154173178200319,1.3139861822128296,0.8322173691670328,Positive,Neutral
15,4,-0.08454854819765822,0.2640380859375,0.40890477847884205,Positive,Neutral
15,5,1.6507550315941355,0.9393206834793091,0.7707599995279389,Positive,Neutral
15,6,0.839779260244357,0.553382933139801,0.5889881725900085,Positive,Neutral
15,7,1.5688851794541965,0.9362481832504272,0.7493626154008776,Positive,Neutral
16,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
16,1,2.8871520469554963,-2.044994592666626,0.8951039034700756,Negative,Positive
16,2,-1.5735331851950238,0.45843374729156494,0.1251550970082393,Negative,Positive
16,3,2.8651028893467747,-1.7638919353485107,0.9061978394951745,Negative,Positive
16,4,0.4257737202415983,-0.13240215182304382,0.4558662108955915,Negative,Positive
16,5,3.0336527992381477,-2.059168815612793,0.9126604558037397,Negative,Positive
16,6,-0.5678662444757201,0.16922307014465332,0.21234457245569266,Negative,Positive
16,7,3.204613001743306,-2.017001152038574,0.9305986718548424,Negative,Positive
17,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
17,1,2.230346662177441,1.4816827774047852,0.8324481782995817,Positive,Neutral
17,2,0.27650579279419496,0.27498674392700195,0.4838337733751106,Positive,Neutral
17,3,2.166891704173665,1.2553821802139282,0.8438302164354251,Positive,Neutral
17,4,0.3673508967097412,0.2741028368473053,0.4632281144332073,Positive,Neutral
17,5,2.3029451552658755,1.3371846675872803,0.8402475150247825,Positive,Neutral
17,6,0.09126092186494894,0.24197918176651,0.43013427103946633,Positive,Neutral
17,7,2.0395732348023947,1.1501866579055786,0.8270652615981474,Positive,Neutral
18,0,0.8435151655776999,0.16583210229873657,0.3690606567840039,Negative,Neutral
18,1,-0.48740509253793607,0.08587267994880676,0.304521089108517,Negative,Neutral
18,2,0.4728195298394635,0.8599152565002441,0.20497228422162325,Negative,Neutral
18,3,0.1318940262003363,0.0804176926612854,0.4017389331429781,Negative,Neutral
18,4,0.9219085192146024,-0.20175613462924957,0.5435477040813068,Negative,Neutral
18,5,0.1641899586788339,-0.045317329466342926,0.4297298635784963,Negative,Neutral
18,6,1.24110194499794,0.01705382764339447,0.5218696981829346,Negative,Neutral
18,7,0.8933719357161544,-0.10309773683547974,0.5618807778273233,Negative,Neutral
19,0,0.2463803078319281,0.16583210229873657,0.4721710527798015,Positive,Negative
19,1,0.6919481116583952,0.6979168057441711,0.604136210355293,Positive,Negative
19,2,1.490929595569266,0.8309691548347473,0.6972485927064556,Positive,Negative
19,3,0.9659107460183127,0.8335371613502502,0.6475838224050886,Positive,Negative
19,4,1.6160038209845244,0.8348749876022339,0.6906986315558076,Positive,Negative
19,5,1.15697613210052,0.8539319634437561,0.6873736238225596,Positive,Negative
19,6,1.5055575485062007,0.7815570831298828,0.6752969276513878,Positive,Negative
19,7,0.8810943112885037,0.7694339752197266,0.6296340777376804,Positive,Negative
20,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
20,1,1.6844455800196503,0.8813802003860474,0.7870913675962582,Positive,Neutral
20,2,1.5311343837388771,0.8763447403907776,0.7030067288673831,Positive,Neutral
20,3,1.7154084725874412,0.8770188093185425,0.7931455651518097,Positive,Neutral
20,4,2.095690567797533,1.054670810699463,0.7107599353440595,Positive,Neutral
20,5,1.9842742848383237,1.0413416624069214,0.8126907721334983,Positive,Neutral
20,6,1.8271285048738857,0.9883022308349609,0.702571000657383,Positive,Neutral
20,7,1.8685489103900608,1.004290223121643,0.8039614982704614,Positive,Neutral
