sample_id,silent,reference,hypothesis,reference_words,word_edits,reference_chars,char_edits,ctc_alignment,sample_WER,sample_CER
-NFrJFQijFE__2,False,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,HAWK'S SENSE OF HERING IS EXCELLENT AND THEIR EYES S,18,18,100,76,proportional_fallback_low_ctc_confidence,1.0,0.76
-THoVjtIkeU__12,False,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",AM WHATEVER WE TURN OUR ATTENTION TO IS WHAT GROWS AND SO IF WE BELIEVE THAT ANYTHING IS POSSIBLE IF WE BELIEVE THAT DAM SOCIAL JUSTICE CAN BE ACHIEVED AND IF WE BELIEVE IN YOUTH AH THEY WILL BELIEVE IN THEMSELVES,39,4,204,11,wav2vec2_ctc_forced_alignment,0.10256410256410256,0.05392156862745098
-THoVjtIkeU__2,False,I think social justice is extremely important for young people.,I THINK A SOCIAL JUSTICE IS EXTREMELY IMPORTANT FOR YOUNG PEOPLE,10,1,62,2,wav2vec2_ctc_forced_alignment,0.1,0.03225806451612903
-THoVjtIkeU__6,False,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",YOU KNOW I THINK THAT LISTENING TO YOUNG PEOPLE TAKING IN WHAT THEY HAVE TO SAY BECAUSE WHAT WE'VE SEEN ALL AROUND THE WORLD IS THE POWER OF YOUTH,30,4,148,12,wav2vec2_ctc_forced_alignment,0.13333333333333333,0.08108108108108109
-UuX1xuaiiE__1,False,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,AND ALL OF THEM ARE REALLY BEING ABLE TO EXPLORE THESE DIFFERENT AREAS IN IN DEPTH IN A WAY THAT REALLY WASN'T AVAILABLE BEFORE THE CENTRE WAS HERE THE WORKH OF,27,5,144,18,wav2vec2_ctc_forced_alignment,0.18518518518518517,0.125
-UuX1xuaiiE__0,False,^it's amazing to see their enthusiasm and their passion,AMAZING TO SEE THEIR ENTHUSIASM AN THEIR PASSION,9,2,54,6,wav2vec2_ctc_forced_alignment,0.2222222222222222,0.1111111111111111
-UuX1xuaiiE__3,False,My goal is to become a human rights lawyer,SIDE MY GOAL IS CHESE BECOME A HUMAN RIGHT'S LAWYER TH,9,4,42,14,wav2vec2_ctc_forced_alignment,0.4444444444444444,0.3333333333333333
-UuX1xuaiiE__6,False,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",I ENTED UP GOING TO WORK FOR THE U S GOVERNMENT HAS AN INTELLIGENCE IN TALIST A SPECIALIZING IN WAR CRIMES OF HUMAN RITS OF SHIPS,22,11,124,20,wav2vec2_ctc_forced_alignment,0.5,0.16129032258064516
-a55Q6RWvTA__3,False,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",AND A YOU CLIP COUPONS IF YOU DON'T GO OUT FOR DINNER AND MOVIES AND THINGS OF THAT NATURE AND TRY TO TAKE UP THINGS IN LIFE THAT WELL THEY ALWAYS SAY THE BEST THINGS IN LIFE ARE FREE READING A BOOK A GOING FOR A NICE WALK AND OF COURSE COMBINING EXERCISE AND VARIOUS THINGS TAT NATURE WERE YOU'RE NOT SPENDING MONEY PER SAY,65,6,327,11,wav2vec2_ctc_forced_alignment,0.09230769230769231,0.03363914373088685
-aNfi7CP8vM__7,False,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",MAYBE THEY HAVE NOTIN THEY HAVE NO POLITICAL PARTY OFFILIATION THEY ARE NOT INTERESTED IN POLITICS THEY COULD CARE LESS ABOUT POLITICS OR,18,7,117,22,wav2vec2_ctc_forced_alignment,0.3888888888888889,0.18803418803418803
-aqamKhZ1Ec__0,False,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",TWO THOUSAND AND OF EIHT THERE WERE VERY SERIOUS TRIBAL WARFARE IN ANYON AND AND EVEN AS THE TF FOLLOWING AT DISPUTED ELECTION AND EVEN,14,15,85,57,wav2vec2_ctc_forced_alignment,1.0714285714285714,0.6705882352941176
-dxfTGcXJoc__1,False,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",FOR THE TENTH STRAIGHT YEAR SOME OF KENTUCKY'S BEST AND MOST ENNOVATING BOTEC COMPANIES AND TECHNOLOGIES WERE ON DISPLAY AT THE ANNUAL BO INTERNATIONAL CONVENTION WHICH I AND OTHER STATE OFFICIALS ATTENDED THIS WEEK IN CHICAGO,36,4,228,9,wav2vec2_ctc_forced_alignment,0.1111111111111111,0.039473684210526314
-dxfTGcXJoc__0,False,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",THIS IS GOVERNOR STEVE BISHR ABOUT KENTUCKY OUR STATE IS HOME TO MORE THAN FIFTEEN HUNDRED BAO SCIENCE AND LIFE SCIENCE COMPANIES AND MORE THAN A HUNDRED THOUSAND PEOPLE WHO WORK FOR THESE FIRMS IN AREAS FROM NEUTRAGENOMIKES AND PARMOSUTICLES TENANO TECHNOLOGY AND MEDICAL DEVICES,42,14,259,50,wav2vec2_ctc_forced_alignment,0.3333333333333333,0.19305019305019305
-dxfTGcXJoc__2,False,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",AN ESTIMATED TWENTY THOUSAND BAOTEC SCIENTIST EXECUTIVES AND INDUSTRY EXPERTS FROM MORE THAN FIFTY NATIONS WERE AT THE BOW CONFERENCE TO LEARN ABOUT THE LATEST SCIENTIFIC ADVANCES AND TO EXCHANGE IDEAS AND ESTABLISH BUSINESS RELATIONSHIPS,35,6,228,24,wav2vec2_ctc_forced_alignment,0.17142857142857143,0.10526315789473684
-dxfTGcXJoc__6,False,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,KENTUCKY'S PARTICIPATION AT THE ANNUAL BO INTERNATIONAL CONVENTION IS THE PRIMARY MEANS BY WHICH OUR HI TEC COMPANIES AND INSTITUTIONS CAN REACH OUT TO THE GLOBAL SCIENTIFIC COMMUNITY,28,3,187,4,wav2vec2_ctc_forced_alignment,0.10714285714285714,0.0213903743315508
-egA8-b7-3M__26,False,We're updating it all the time and looking forward to your comments on our videos.,WERE UPDATING IT ALL THE TIME AND LOOKING FORWARD TO YOUR COMMENTS ON ARVIDIOS,15,3,81,5,wav2vec2_ctc_forced_alignment,0.2,0.06172839506172839
-egA8-b7-3M__17,False,"As you have more experience, you have more times exhibiting, you get to know more people.",AS YOU HAVE MORE EXPERIENCE YOU HAVE MORE TIMES EXHIBITING YOU GET TO NO MORE PEOPLE,16,1,86,2,wav2vec2_ctc_forced_alignment,0.0625,0.023255813953488372
-egA8-b7-3M__18,False,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,IT BECOMES EASIER AT EACH ONE OF THESE CONFERENCES TO CONNECT WITH PEOPLE THAT YOU'VE MET OR THAT YOU'RE DOING BUSINESS WIP,22,1,124,2,wav2vec2_ctc_forced_alignment,0.045454545454545456,0.016129032258064516
-egA8-b7-3M__16,False,"Third, another big benefit of exhibiting is connecting with existing clients.",THIRD ANOTHER BIG BENEFIT OF EXHIBITING IS CONNECTING WITH EXISTING CLIENTS,11,0,75,0,wav2vec2_ctc_forced_alignment,0.0,0.0
-egA8-b7-3M__13,False,"What are you doing that's different?"" They always want an answer.",WHAT ARE YOU DOING THAT'S DIFFERENT THEY ALWAYS WANT AN ANSWER,11,0,62,0,wav2vec2_ctc_forced_alignment,0.0,0.0
-egA8-b7-3M__1,False,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,IRE I HAVE STARTED A SUCCESSFUL LEGAL NURSE CONSULTING BUSINESS IN NINETEEN EIGHTY NINE I MEANT TOR NURSES WHO WANT TO BECOME LEGAL NURS CONSULTANTS,20,8,121,33,wav2vec2_ctc_forced_alignment,0.4,0.2727272727272727
-egA8-b7-3M__6,False,First exhibiting is a wonderful opportunity to network with other legal vendors.,FIRST EXHIBITING ITS A WONDERFUL OPPORTUNITY TO NET WORK WITH OTHER LEGAL VENGERS,12,4,79,4,wav2vec2_ctc_forced_alignment,0.3333333333333333,0.05063291139240506
-egA8-b7-3M__9,False,"Secondly, another goal of exhibiting  is building your company image.",SECONDLY ANOTHER GOAL OF EXHIBITING IS BUILDING YOUR COMPANY IMAGE,10,0,66,0,wav2vec2_ctc_forced_alignment,0.0,0.0
-egA8-b7-3M__20,False,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",NOW YOU'VE GOT A FACE THAT YOU CAN CONNECT WITH A VOICE AND THAT MAKES YOU CLOSER TO THAT CLIENT,20,0,96,0,wav2vec2_ctc_forced_alignment,0.0,0.0
-iRBcNs9oI8__3,False,"Well, it is the secret of power pose",IS GOING TO HELP YOU ON YOUR TESTS SUCH AS TOFUL IALTS OR UNIVERSIT,8,14,35,51,proportional_fallback_low_ctc_confidence,1.75,1.457142857142857
-iRBcNs9oI8__7,False,"Well, for starters, let's look at the word ""power""",TERVIEW AND THE SECRET WILL ALSO HELP YOU IF YOU E,9,11,46,37,proportional_fallback_low_ctc_confidence,1.2222222222222223,0.8043478260869565
-iRBcNs9oI8__6,False,What is a power pose,HELP YOU IF YOU HAVE AN ENGLISH JOB INTERVIEW,5,9,20,36,proportional_fallback_low_ctc_confidence,1.8,1.8
-iRBcNs9oI8__9,False,Power is similar to strength,OF POWER EPOSE,5,5,28,22,proportional_fallback_low_ctc_confidence,1.0,0.7857142857142857
-iRBcNs9oI8__8,False,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",EVER DECIDE TO ASK OUT THAT SPECIAL SOME ONE SO WHAT IS THE SECRET I'M TELLING YOU ABOUT WELL IT IS THE SECRE,21,23,93,79,proportional_fallback_low_ctc_confidence,1.0952380952380953,0.8494623655913979
-lzEya4AM_4__5,False,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",IF IT FALLS INTO ANY OF THOSE THREE CATEGORIES INDUCING NAUSEY AND VOMITING WOULD BE YOUR NEXT DOUT,19,3,102,8,wav2vec2_ctc_forced_alignment,0.15789473684210525,0.0784313725490196
-lzEya4AM_4__6,False,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",IF THE PRODUCT OR POISON O SOME TYPE OF PATROLEUM PRODUCT OR CORROSIVE PRODUCT YOU WOULD NOT ATTEMPT TO INDUCE VOMINING AND NAUSEA AS THE PRODUCT BURNED ON THE WAY DOWN IT COULD CAUSE DAMAGE AND BURNING ON THE WAY BACK UP,43,4,225,7,wav2vec2_ctc_forced_alignment,0.09302325581395349,0.03111111111111111
-mJ2ud6oKI8__1,True,There are a dozen or more hands on techniques that we can do,,13,13,60,60,proportional_fallback_silent_audio,1.0,1.0
-mJ2ud6oKI8__2,True,So physical therapists and chiropractors will do joint manipulations and mobilizations,,11,11,86,86,proportional_fallback_silent_audio,1.0,1.0
-mJ2ud6oKI8__6,False,They are all very safe,THAT WE ALL WANT A PROACH REALLY ANY,5,7,22,25,proportional_fallback_low_ctc_confidence,1.4,1.1363636363636365
-mJ2ud6oKI8__9,False,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",WATION TO FIND OUT BECAUSE YOU MIGHT HAVE HIPPOTER A THRITUS BUT THAT YOU COULD ALSO HAVE OTHER A YOU KNOW DISFUNCTIONS ROUND YOUR,22,23,111,93,proportional_fallback_low_ctc_confidence,1.0454545454545454,0.8378378378378378
-mJ2ud6oKI8__8,False,Sometimes we have to stretch that joint that is already irritated,WE WANT O TYUATE THEM AND IL GIV EM A FULL THOROUGH A VALUATION TO FI,11,16,65,56,proportional_fallback_low_ctc_confidence,1.4545454545454546,0.8615384615384616
-mqbVkbCndg__0,False,"How, at a particular moment in time—our moment in time—are they limited",HOW AT A PARTICULAR MOMENT IN TIME OUR MOMENT IN TIME ARE THEY LIMITED,14,0,70,0,wav2vec2_ctc_forced_alignment,0.0,0.0
-t217m2on-s__2,False,"But a good thing to do is yawning, chewing gum is effective.",WHAT A A GOOD THING TO DO IS YAWNING A CHEWING GUM IS EFFECTIVE,12,3,58,7,wav2vec2_ctc_forced_alignment,0.25,0.1206896551724138
-t217m2on-s__7,False,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",IF YOU FIND THAT YOUR EARS PERCONSISTENTLY DO THIS AND YOU CAN'T POP THEM OFTEN YOU'LL DEFINITELYOU WANT NEED TO SEE A PHYSICIAN REGARDING THOSE THINGS IT COULD BE SOMETHING MORE OF A NASAL INFECTION OR A SINUS INFECTION THAT HE WOULD NEED TO DEAL WITH,45,3,242,10,wav2vec2_ctc_forced_alignment,0.06666666666666667,0.04132231404958678
-tANM6ETl_M__3,False,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",THE FIRST PLACE IS EITHER YOU HAVE A PROSPECT OR A CUSTOMER WHAS NEVER DONE IT BEFORE THEY'VE NEVER TRIED IT,22,2,112,5,wav2vec2_ctc_forced_alignment,0.09090909090909091,0.044642857142857144
-tPCytz4rww__11,False,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",OUGH MAYE SURE THAT YOUR USING COMPS THAT ARE NO LARGER NO LARGER THAN TWELVE HUNDRED SQUARE FEET NO LESS,17,5,93,15,wav2vec2_ctc_forced_alignment,0.29411764705882354,0.16129032258064516
-tPCytz4rww__10,False,Say twenty percent so if you've got a thousand square foot condo.,FOOTAGE SAY TWENTY PER CENT SO IF YOU'VE GET A THOUSAND SQUARE FOOT CONDO MAY,12,5,64,14,wav2vec2_ctc_forced_alignment,0.4166666666666667,0.21875
-tPCytz4rww__12,False,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",SQUARE FEET NO LESS THAN EIGHT HUNDRED SQUARE FEET AN GNTO BE SIMILAR IN AM SIMILAR WITH BEDROOMS AND BATHROOMS AS WELL AND AHOPEFULLY THE THE COMPLEXES HAVE SIMILAR AMENITIES MEANIN,26,10,157,35,wav2vec2_ctc_forced_alignment,0.38461538461538464,0.2229299363057325
-tPCytz4rww__16,False,So make sure to get a through or to do a through cleaning of the property.,SO MAKE SURE TO GET A THOROUGH ON TO DO A THOROUGH CLEANING OF THE PROPERTY IF YOU NEE,16,6,73,14,wav2vec2_ctc_forced_alignment,0.375,0.1917808219178082
-tPCytz4rww__18,False,Do so and as well you'll also want to remove any clutter from that you've accumulated.,OT DO SO AND AS WELL A YOU'LL ALSO WANT TO REMOVE ANY CLUTTER FROM THE HOME THAT YOU'VE ACCUMULATED OVER,16,5,85,19,wav2vec2_ctc_forced_alignment,0.3125,0.2235294117647059
-vxjVxOeScU__4,False,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",OR UN TO TALK ABOUT THEIR LIFE THEIR MARRIAGE  UNUSUALLY HOW AMAZING IT IS THAT THEY'VE STAYED TOGETHER THIS LONG WEDDING IN,21,6,121,22,wav2vec2_ctc_forced_alignment,0.2857142857142857,0.18181818181818182
-wMB_hJL-3o__7,False,So if you have a loved one who is depressed those are some of the things that you should think about doing.,SO IF YOU HAVE A LOVED ONE WHO IS DEPRESSED THOSE ARE SOME OF THE THINGS THAT YOU SHOULD THINK ABOUT DOING,22,0,106,0,wav2vec2_ctc_forced_alignment,0.0,0.0
-wny0OAz3g8__1,False,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",S TO JOIN AND BECAUSE THEY COULDN'T JOIN UNIONS MANY BLACK WORKERS COULDN'T GET MANUFACTURING OR TRADE WORK WHICH PAID MUCH BETTER THAN SERVICE WORK AND BECAUSE,22,5,138,22,wav2vec2_ctc_forced_alignment,0.22727272727272727,0.15942028985507245
-wny0OAz3g8__0,False,trade labor unions didn’t allow Black workers to join,TRADE LABOR UNIONS DIDN'T ALLOW BLACK WORKERS TO JOIN AND BECAUSE,9,2,53,12,wav2vec2_ctc_forced_alignment,0.2222222222222222,0.22641509433962265
-wny0OAz3g8__3,False,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,W BEHAVIOR WHICH THEN ALLOWED THE WHITE WORKERS AND UNIONS TO JUSTIFY THEIR DECISION TO NOT ALLOW BLACK WORKERS INTO THEIR UNIONHE PREVAILI,20,4,117,22,wav2vec2_ctc_forced_alignment,0.2,0.18803418803418803
-wny0OAz3g8__2,False,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",SERVICE WERE AND BECAUSE THEY COULDN'T GET THESE JOBS BLACK COMMUNITIES HAD MORE MEN OUT OF WORK HIGHERRATES OF POVERTY AND MORE CRIMINAL BEHAVIOR WHICH THAT A,23,7,134,27,wav2vec2_ctc_forced_alignment,0.30434782608695654,0.20149253731343283
-wny0OAz3g8__5,False,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",EMSELVES THIS IS WHAT'S NOW KNOWN AS RACIAL FORMATION THEORY A THEORY FORMALIZED BY MODERN SOCIOLOGIST MICHAEL OMY AND HOWARD WINANT RACIAL FORM,20,5,124,23,wav2vec2_ctc_forced_alignment,0.25,0.18548387096774194
-wny0OAz3g8__7,False,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,FORCES OMIAN WINNAT ARGUE THAT THE CONCEPT OF RACE CAME ABOUT AS A TOOL TO JUSTIFY IN MAINTAIN IN THE ECONOMIC AND POLITICAL POWER HELD BY THOSE OF EUROPEAN DESCENT ANOTHER,29,6,157,24,wav2vec2_ctc_forced_alignment,0.20689655172413793,0.15286624203821655
-wny0OAz3g8__9,False,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",S WILSON E EXPLORES WHY BLOCK AND WHITE AMERICANS TEND TO HAVE SUCH DIFFERENT OUTCOMES IN TERMS OF INCOME EDUCATION AN  MORE AND HE AR,20,8,116,21,wav2vec2_ctc_forced_alignment,0.4,0.1810344827586207
-571d8cVauQ__0,False,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",MISSUS RED RIGER WHITECASPING STUDIOS ON BEHALF OF EXPERT VILLAGE,12,6,70,11,wav2vec2_ctc_forced_alignment,0.5,0.15714285714285714
-571d8cVauQ__5,False,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",AS SO VERY IMPORTANT T GO OUT TO THE LOCATIONS WALK AROUND TALK WITH THE OWNERS IF YOU CAN TELL THEM WHAT YOU'ARE DOING BUILD A LITTLE EXCITEMENT PUT A LITTLE GLITZ ON THERE AND LET EVERYBODY KNOW THIS IS A VERY VALUABLE SPOT THIS IS,43,6,223,14,wav2vec2_ctc_forced_alignment,0.13953488372093023,0.06278026905829596
-I_e4mIh0yE__1,False,In the United States we don't punish failure to the degree to which failure is punished in Europe.,SHIP IN THE UNITED STATES WE DON'T PUNISH FAILURE TO THE DEGREE TO WHICH FAILURE IS PUNISHED IN EUROPE,18,1,97,5,wav2vec2_ctc_forced_alignment,0.05555555555555555,0.05154639175257732
-I_e4mIh0yE__3,False,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",IT'S PERCEIVED THAT YOU'VE ACTUALLY TS IT'S PERCEIVED THAT YOU'VE ACTUALLY LEARNED SOMETHING AH OVER THE COURSEE YOUR CAREER AND THAT YOU WON'T MAKE THE MISTAKE TWICE MY,22,12,129,47,wav2vec2_ctc_forced_alignment,0.5454545454545454,0.3643410852713178
-UacrmKiTn4__10,False,"Because, if they are not in any way held accountable for reading the material they won't do it.",READING IT BECAUSE IF THEY ARE NOT IN ANY WAY HELD ACCOUNTABLE FOR READING THE MATERIAL THEY WON'T DO IT,18,2,93,11,wav2vec2_ctc_forced_alignment,0.1111111111111111,0.11827956989247312
-UacrmKiTn4__4,False,Just given to their own devices they are not going to read the textbook.,JUST GIVEN TO THEIR OWN DEVICES THEY ARE NOT GOING TO READ THE TEXT BOOK ND,14,3,71,4,wav2vec2_ctc_forced_alignment,0.21428571428571427,0.056338028169014086
-hnBHBN8p5A__7,False,"Picture this, before we actually start hacking, we’re in a room formal setting",THE MAJORITY OF AN ENTIRE NATION TO BELIEVE IN TRUST HIS OR HER WORDS ISN'T TAT,13,15,76,65,proportional_fallback_low_ctc_confidence,1.1538461538461537,0.8552631578947368
-hnBHBN8p5A__6,False,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",TO FOLLOW JUST ONE RISION YU NEVER WONDERED HOW A SINGLE B,13,12,83,61,proportional_fallback_low_ctc_confidence,0.9230769230769231,0.7349397590361446
-qDkUB0GgYY__6,False,"We always love to hear what you say, and like and share this video as well.",WITH US WE ALWAYS LOVE TO HEAR WHAT YOU E SAY AND LIKENTRS THAT YOU AS WELL AND,16,9,73,29,wav2vec2_ctc_forced_alignment,0.5625,0.3972602739726027
-uywlfIYOS8__4,False,"And then from a brand point of view, we need to make sure we're driving the relevant insight.",IGORYIS NOT OVER DEVELOPED AND THEN FROM A BRAND POINT OF VIEW WE NEED TO MAKE SURE THAT WE'RE DRIVING THE REL OF AN INSIGHT,18,8,91,37,wav2vec2_ctc_forced_alignment,0.4444444444444444,0.4065934065934066
-6rXp3zJ3kc__8,False,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,AWARE OF MANY PEOPLE ARE NOT UNTIL THEY GET TO BE A OLDER AGE AND THEY REALIZED THAT GASHEF THEY'VE WASTED A LOT OF TIME AND MONEY IN IN PLACING BATS ON STOCK THAT'S ULTIMATELY LOST VALUE,34,7,169,20,wav2vec2_ctc_forced_alignment,0.20588235294117646,0.11834319526627218
-9y-fZ3swSY__0,False,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",BERS EVEN SAY HEY YOU'L NOT I REALLY LIKE BABY'S KID THIT'S SO SOFT THEY DON'T HAVE ANY HAIR ON THE FACE IT'S SO,22,12,98,38,wav2vec2_ctc_forced_alignment,0.5454545454545454,0.3877551020408163
-9y-fZ3swSY__4,False,I’ve seen this in US or in the US,IVE SENLAS ANEESS OR IN THE EST,9,6,33,12,wav2vec2_ctc_forced_alignment,0.6666666666666666,0.36363636363636365
-9y-fZ3swSY__8,False,That’s a more decent and more polite way to call a lady,A'AM THAT'S A MORE DECENT AND MORE POLITE WAY TO CALL A LADY AND,12,2,55,9,wav2vec2_ctc_forced_alignment,0.16666666666666666,0.16363636363636364
-AUZQgSxyPQ__2,False,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",THE PERFECT SOL VAN TO THE CLARASYNIC SPOT VERFE BRUSH THIS GENTLE PGE BALANCED AND HYDRATING EXCOLIEN CONTAINS AHOBA IN A KAI FRUGOIL WITH BAMBOO AND QUICKLY VER EXTRACTS THESE DELIVERED INTENSE HEALING WHILE SMOOTH GRANOS PUFF AWAY DEAD DRY SKINJO,41,21,257,56,wav2vec2_ctc_forced_alignment,0.5121951219512195,0.2178988326848249
-HeZS2-Prhc__2,False,The August jobs report is out and it was seen overall as solid but not great.,IT TO DAY AH THE AUGUST JOBS REPORTES OUT AND IT WAS SEEN OVER ALL A SOLID BUT NOT CRATE THE REPORT,16,12,76,30,wav2vec2_ctc_forced_alignment,0.75,0.39473684210526316
-MeTTeMJBNc__0,False,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",OQUEY WHAT HAPPENS AT THIS POINT AFTER WE HAVE TAKEN THIS BRIEF WALK DOWN MEMORY LANE IS THE PRESENTATION OF THE GIFT,21,3,114,6,wav2vec2_ctc_forced_alignment,0.14285714285714285,0.05263157894736842
-MeTTeMJBNc__13,False,"It just needs to be a simple statement, and then you present the gift.",R IT IS JEST NEEDS TO BE A SIMPLE STATEMENT AND THEN YOU PRESENT THE GIFT,14,3,68,6,wav2vec2_ctc_forced_alignment,0.21428571428571427,0.08823529411764706
