cohort,model,subset,rate,position,replicate,samples,Macro_F1,MAE,Accuracy
full_valid_1871,full_clean_teacher,AV,0.3,random,0,1871,0.6248669787651385,0.5718436241149902,0.6456440406199893
full_valid_1871,full_clean_teacher,TAV,0.3,random,0,1871,0.5823454138659466,0.60953688621521,0.6034206306787814
full_valid_1871,full_clean_teacher,TAV,0.1,scattered,0,1871,0.6283515502563842,0.5633952617645264,0.6493853554249065
full_valid_1871,full_clean_teacher,TAV,0.1,scattered,1,1871,0.6206664801613152,0.570681631565094,0.6397648316408338
full_valid_1871,full_clean_teacher,TAV,0.2,scattered,0,1871,0.604660300089146,0.5893182754516602,0.623730625334046
full_valid_1871,full_clean_teacher,TAV,0.2,scattered,1,1871,0.5978965976475844,0.5916162133216858,0.6167824692677712
full_valid_1871,full_clean_teacher,TAV,0.3,scattered,0,1871,0.5662258949679713,0.6253870129585266,0.5820416889363976
full_valid_1871,full_clean_teacher,TAV,0.3,scattered,1,1871,0.5748466884949847,0.6127792596817017,0.5905932656333511
full_valid_1871,full_robust_student,none,0.0,random,0,1871,0.6305285852859462,0.5424532294273376,0.6729021913415286
full_valid_1871,full_robust_student,T,0.3,random,0,1871,0.5869613390802324,0.5922483801841736,0.6264029930518439
full_valid_1871,full_robust_student,A,0.3,random,0,1871,0.6353848452791526,0.5401290059089661,0.6729021913415286
full_valid_1871,full_robust_student,V,0.3,random,0,1871,0.6320144662828703,0.5395309329032898,0.6755745590593266
full_valid_1871,full_robust_student,AV,0.3,random,0,1871,0.6402649966202091,0.5362906455993652,0.6766435061464458
full_valid_1871,full_robust_student,TAV,0.3,random,0,1871,0.593395639207809,0.5902218818664551,0.6333511491181186
full_valid_1871,full_robust_student,TAV,0.1,scattered,0,1871,0.6173381860422301,0.5558651685714722,0.6563335114911811
full_valid_1871,full_robust_student,TAV,0.1,scattered,1,1871,0.6117186575638748,0.5595916509628296,0.6515232495991449
full_valid_1871,full_robust_student,TAV,0.2,scattered,0,1871,0.5910632823515686,0.5759310722351074,0.6285408872260823
full_valid_1871,full_robust_student,TAV,0.2,scattered,1,1871,0.6061264673504485,0.5752477049827576,0.6445750935328701
full_valid_1871,full_robust_student,TAV,0.3,scattered,0,1871,0.5909175508408504,0.5877983570098877,0.6290753607696419
full_valid_1871,full_robust_student,TAV,0.3,scattered,1,1871,0.604260206617592,0.5858356952667236,0.6392303580972741
attachment2_valid_728,old_distilled_3seed,none,0.0,random,0,728,0.620798489893552,0.5823522210121155,0.635989010989011
attachment2_valid_728,old_distilled_3seed,T,0.3,random,0,728,0.5757304506737172,0.6262167692184448,0.592032967032967
attachment2_valid_728,old_distilled_3seed,A,0.3,random,0,728,0.6275604576688992,0.5831459760665894,0.6428571428571429
attachment2_valid_728,old_distilled_3seed,V,0.3,random,0,728,0.6248838381853731,0.5771458148956299,0.6373626373626373
attachment2_valid_728,old_distilled_3seed,AV,0.3,random,0,728,0.6305527334082789,0.5822209119796753,0.6428571428571429
attachment2_valid_728,old_distilled_3seed,TAV,0.3,random,0,728,0.5770542928271635,0.6227200031280518,0.5934065934065934
attachment2_valid_728,old_distilled_3seed,TAV,0.1,scattered,0,728,0.6174790614730149,0.5828211903572083,0.6332417582417582
attachment2_valid_728,old_distilled_3seed,TAV,0.1,scattered,1,728,0.6335037504954871,0.5853622555732727,0.6456043956043956
attachment2_valid_728,old_distilled_3seed,TAV,0.2,scattered,0,728,0.6032469767016774,0.590252161026001,0.6153846153846154
attachment2_valid_728,old_distilled_3seed,TAV,0.2,scattered,1,728,0.5954399029438626,0.6096964478492737,0.6085164835164835
attachment2_valid_728,old_distilled_3seed,TAV,0.3,scattered,0,728,0.5899906114169806,0.6052321791648865,0.6002747252747253
attachment2_valid_728,old_distilled_3seed,TAV,0.3,scattered,1,728,0.5754447552353052,0.6177753806114197,0.5851648351648352
attachment2_valid_728,full_clean_teacher,none,0.0,random,0,728,0.6227946142048116,0.5559634566307068,0.6304945054945055
attachment2_valid_728,full_clean_teacher,T,0.3,random,0,728,0.5551497316673527,0.6181548237800598,0.5590659340659341
attachment2_valid_728,full_clean_teacher,A,0.3,random,0,728,0.613592750867549,0.5664664506912231,0.6222527472527473
attachment2_valid_728,full_clean_teacher,V,0.3,random,0,728,0.626916208635751,0.5521557331085205,0.6346153846153846
attachment2_valid_728,full_clean_teacher,AV,0.3,random,0,728,0.6208308643529222,0.5742433071136475,0.6291208791208791
attachment2_valid_728,full_clean_teacher,TAV,0.3,random,0,728,0.5679941512990335,0.6127859354019165,0.5782967032967034
attachment2_valid_728,full_clean_teacher,TAV,0.1,scattered,0,728,0.6259807786350973,0.5593104958534241,0.6346153846153846
attachment2_valid_728,full_clean_teacher,TAV,0.1,scattered,1,728,0.6178435679598583,0.5687750577926636,0.6263736263736264
attachment2_valid_728,full_clean_teacher,TAV,0.2,scattered,0,728,0.5992126988290671,0.579226553440094,0.6071428571428571
attachment2_valid_728,full_clean_teacher,TAV,0.2,scattered,1,728,0.5827160220334068,0.598879873752594,0.592032967032967
attachment2_valid_728,full_clean_teacher,TAV,0.3,scattered,0,728,0.5716264980503376,0.6121304035186768,0.5782967032967034
attachment2_valid_728,full_clean_teacher,TAV,0.3,scattered,1,728,0.5731621828658175,0.6125971674919128,0.5796703296703297
attachment2_valid_728,full_robust_student,none,0.0,random,0,728,0.6307522084251643,0.5480999946594238,0.6607142857142857
attachment2_valid_728,full_robust_student,T,0.3,random,0,728,0.5961388237919875,0.5941939949989319,0.6236263736263736
attachment2_valid_728,full_robust_student,A,0.3,random,0,728,0.6340657281206048,0.5494389533996582,0.6593406593406593
attachment2_valid_728,full_robust_student,V,0.3,random,0,728,0.6368988236912451,0.5428317785263062,0.6648351648351648
attachment2_valid_728,full_robust_student,AV,0.3,random,0,728,0.6469837677902134,0.541908323764801,0.6689560439560439
attachment2_valid_728,full_robust_student,TAV,0.3,random,0,728,0.6094441165237319,0.5900816917419434,0.6373626373626373
attachment2_valid_728,full_robust_student,TAV,0.1,scattered,0,728,0.6113674181288472,0.5630845427513123,0.6387362637362637
attachment2_valid_728,full_robust_student,TAV,0.1,scattered,1,728,0.6144445086264955,0.5654630064964294,0.6401098901098901
attachment2_valid_728,full_robust_student,TAV,0.2,scattered,0,728,0.5840614413777324,0.5742634534835815,0.6071428571428571
attachment2_valid_728,full_robust_student,TAV,0.2,scattered,1,728,0.5869752955980406,0.5963709354400635,0.614010989010989
attachment2_valid_728,full_robust_student,TAV,0.3,scattered,0,728,0.6058065483142084,0.5808312296867371,0.6291208791208791
attachment2_valid_728,full_robust_student,TAV,0.3,scattered,1,728,0.5863922761083683,0.5989828705787659,0.6085164835164835
new_full_valid_1143,old_distilled_3seed,none,0.0,random,0,1143,0.6162537796967162,0.5626816153526306,0.6500437445319335
new_full_valid_1143,old_distilled_3seed,T,0.3,random,0,1143,0.5802028554064563,0.6165845394134521,0.6106736657917761
new_full_valid_1143,old_distilled_3seed,A,0.3,random,0,1143,0.6136484528384591,0.5634328722953796,0.6517935258092739
new_full_valid_1143,old_distilled_3seed,V,0.3,random,0,1143,0.6158571171498642,0.5651878714561462,0.6465441819772528
new_full_valid_1143,old_distilled_3seed,AV,0.3,random,0,1143,0.6113883582488485,0.5653176307678223,0.642169728783902
new_full_valid_1143,old_distilled_3seed,TAV,0.3,random,0,1143,0.5826488562233507,0.6143106818199158,0.6141732283464567
new_full_valid_1143,old_distilled_3seed,TAV,0.1,scattered,0,1143,0.6077593097659396,0.5789610147476196,0.642169728783902
new_full_valid_1143,old_distilled_3seed,TAV,0.1,scattered,1,1143,0.603795627609795,0.583451509475708,0.6360454943132109
new_full_valid_1143,old_distilled_3seed,TAV,0.2,scattered,0,1143,0.5771555215099728,0.6031752824783325,0.6141732283464567
new_full_valid_1143,old_distilled_3seed,TAV,0.2,scattered,1,1143,0.603498284823242,0.5854774117469788,0.636920384951881
new_full_valid_1143,old_distilled_3seed,TAV,0.3,scattered,0,1143,0.5716886901446595,0.6243689060211182,0.6010498687664042
new_full_valid_1143,old_distilled_3seed,TAV,0.3,scattered,1,1143,0.567881079589322,0.6098660230636597,0.6045494313210849
new_full_valid_1143,full_clean_teacher,none,0.0,random,0,1143,0.6356066057586985,0.5533736944198608,0.6622922134733158
new_full_valid_1143,full_clean_teacher,T,0.3,random,0,1143,0.5669170570230304,0.6192558407783508,0.5809273840769904
new_full_valid_1143,full_clean_teacher,A,0.3,random,0,1143,0.6366289823386424,0.5568239092826843,0.6657917760279966
new_full_valid_1143,full_clean_teacher,V,0.3,random,0,1143,0.6295811872990297,0.5514554381370544,0.6561679790026247
new_full_valid_1143,full_clean_teacher,AV,0.3,random,0,1143,0.6248807559645487,0.5703151822090149,0.6561679790026247
new_full_valid_1143,full_clean_teacher,TAV,0.3,random,0,1143,0.5900277736362628,0.6074674725532532,0.6194225721784777
new_full_valid_1143,full_clean_teacher,TAV,0.1,scattered,0,1143,0.6273294541717064,0.5659970045089722,0.6587926509186351
new_full_valid_1143,full_clean_teacher,TAV,0.1,scattered,1,1143,0.6202958975950169,0.5718960165977478,0.6482939632545932
new_full_valid_1143,full_clean_teacher,TAV,0.2,scattered,0,1143,0.6065928213974582,0.5957459807395935,0.6342957130358705
new_full_valid_1143,full_clean_teacher,TAV,0.2,scattered,1,1143,0.6062067851929602,0.5869897603988647,0.6325459317585301
new_full_valid_1143,full_clean_teacher,TAV,0.3,scattered,0,1143,0.5612529508682192,0.6338304281234741,0.584426946631671
new_full_valid_1143,full_clean_teacher,TAV,0.3,scattered,1,1143,0.5740016951357158,0.6128952503204346,0.5975503062117236
new_full_valid_1143,full_robust_student,none,0.0,random,0,1143,0.6292171843359864,0.538856565952301,0.6806649168853893
new_full_valid_1143,full_robust_student,T,0.3,random,0,1143,0.5796886522565955,0.5910090804100037,0.6281714785651793
new_full_valid_1143,full_robust_student,A,0.3,random,0,1143,0.634964922516311,0.5341992378234863,0.6815398075240595
new_full_valid_1143,full_robust_student,V,0.3,random,0,1143,0.6268526507525644,0.5374284982681274,0.6824146981627297
new_full_valid_1143,full_robust_student,AV,0.3,random,0,1143,0.6339407060191004,0.5327125191688538,0.6815398075240595
new_full_valid_1143,full_robust_student,TAV,0.3,random,0,1143,0.5816228470693251,0.5903112292289734,0.6307961504811899
new_full_valid_1143,full_robust_student,TAV,0.1,scattered,0,1143,0.6202277123634871,0.5512669682502747,0.6675415573053368
new_full_valid_1143,full_robust_student,TAV,0.1,scattered,1,1143,0.6081709885272103,0.5558520555496216,0.6587926509186351
new_full_valid_1143,full_robust_student,TAV,0.2,scattered,0,1143,0.5940407135490818,0.5769931674003601,0.642169728783902
new_full_valid_1143,full_robust_student,TAV,0.2,scattered,1,1143,0.6177238955513765,0.561793863773346,0.6640419947506562
new_full_valid_1143,full_robust_student,TAV,0.3,scattered,0,1143,0.5794173852443686,0.5922358632087708,0.6290463692038495
new_full_valid_1143,full_robust_student,TAV,0.3,scattered,1,1143,0.6145953525915248,0.5774620771408081,0.6587926509186351
