样本编号,模态类型,原始视频有效时长_秒,原始音频有效时长_秒,文本特征维度,语音特征维度,视觉特征维度,对齐粒度,对齐方法,CTC置信度,人脸有效率,Blendshape有效率,特征文件,逐词时间表
-AUZQgSxyPQ__2,文本+语音+视觉,22.4046,22.4046,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.56837,1.0,1.0,features/-AUZQgSxyPQ__2.npz,word_alignment/-AUZQgSxyPQ__2.csv
-HeZS2-Prhc__2,文本+语音+视觉,8.1509,8.1509,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.49173,1.0,1.0,features/-HeZS2-Prhc__2.npz,word_alignment/-HeZS2-Prhc__2.csv
-MeTTeMJBNc__0,文本+语音+视觉,9.2183,9.2183,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.07887,1.0,1.0,features/-MeTTeMJBNc__0.npz,word_alignment/-MeTTeMJBNc__0.csv
-MeTTeMJBNc__13,文本+语音+视觉,5.2555,5.2555,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.03611,1.0,1.0,features/-MeTTeMJBNc__13.npz,word_alignment/-MeTTeMJBNc__13.csv
-MeTTeMJBNc__7,文本+语音+视觉,10.4113,10.4113,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.39716,1.0,1.0,features/-MeTTeMJBNc__7.npz,word_alignment/-MeTTeMJBNc__7.csv
-RfYyzHpjk4__11,文本+语音+视觉,5.0749,5.0749,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.23199,1.0,1.0,features/-RfYyzHpjk4__11.npz,word_alignment/-RfYyzHpjk4__11.csv
-RfYyzHpjk4__8,文本+语音+视觉,4.5324,4.5324,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.05059,1.0,1.0,features/-RfYyzHpjk4__8.npz,word_alignment/-RfYyzHpjk4__8.csv
-RfYyzHpjk4__2,文本+语音+视觉,5.3918,5.3918,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.78793,0.96,0.76,features/-RfYyzHpjk4__2.npz,word_alignment/-RfYyzHpjk4__2.csv
-UUCSKoHeMA__0,文本+语音+视觉,7.7322,7.7322,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.07814,1.0,1.0,features/-UUCSKoHeMA__0.npz,word_alignment/-UUCSKoHeMA__0.csv
-ri04Z7vwnc__0,文本+语音+视觉,2.7633,2.7633,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-4.81297,0.0,0.0,features/-ri04Z7vwnc__0.npz,word_alignment/-ri04Z7vwnc__0.csv
-ri04Z7vwnc__2,文本+语音+视觉,5.9134,5.9134,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-6.64921,0.25,0.25,features/-ri04Z7vwnc__2.npz,word_alignment/-ri04Z7vwnc__2.csv
-ri04Z7vwnc__5,文本+语音+视觉,3.4398,3.4398,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-7.58346,1.0,1.0,features/-ri04Z7vwnc__5.npz,word_alignment/-ri04Z7vwnc__5.csv
-s9qJ7ATP7w__1,文本+语音+视觉,4.6438,4.6438,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.35783,1.0,1.0,features/-s9qJ7ATP7w__1.npz,word_alignment/-s9qJ7ATP7w__1.csv
-s9qJ7ATP7w__0,文本+语音+视觉,6.7106,6.7106,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.37584,1.0,0.9583,features/-s9qJ7ATP7w__0.npz,word_alignment/-s9qJ7ATP7w__0.csv
-s9qJ7ATP7w__5,文本+语音+视觉,8.3979,8.3979,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.13288,1.0,1.0,features/-s9qJ7ATP7w__5.npz,word_alignment/-s9qJ7ATP7w__5.csv
-s9qJ7ATP7w__4,文本+语音+视觉,4.2469,4.2469,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.83123,0.5556,0.5556,features/-s9qJ7ATP7w__4.npz,word_alignment/-s9qJ7ATP7w__4.csv
-s9qJ7ATP7w__7,文本+语音+视觉,6.8386,6.8386,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.74946,0.7143,0.4643,features/-s9qJ7ATP7w__7.npz,word_alignment/-s9qJ7ATP7w__7.csv
-s9qJ7ATP7w__6,文本+语音+视觉,2.3148,2.3148,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.09684,1.0,1.0,features/-s9qJ7ATP7w__6.npz,word_alignment/-s9qJ7ATP7w__6.csv
-s9qJ7ATP7w__8,文本+语音+视觉,3.1843,3.1843,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.22024,1.0,1.0,features/-s9qJ7ATP7w__8.npz,word_alignment/-s9qJ7ATP7w__8.csv
-yRb-Jum7EQ__1,文本+语音+视觉,29.1097,29.1097,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-4.06494,1.0,0.9184,features/-yRb-Jum7EQ__1.npz,word_alignment/-yRb-Jum7EQ__1.csv
-yRb-Jum7EQ__5,文本+语音+视觉,13.0446,13.0446,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-3.97446,1.0,1.0,features/-yRb-Jum7EQ__5.npz,word_alignment/-yRb-Jum7EQ__5.csv
-yRb-Jum7EQ__6,文本+语音+视觉,11.2426,11.2426,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-4.19478,1.0,1.0,features/-yRb-Jum7EQ__6.npz,word_alignment/-yRb-Jum7EQ__6.csv
